stratum,context,colour,support_tier,threshold_corrected,model,status_corrected,n_unique_islands_corrected,n_clusters_corrected,median_trials_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,distance_q_corrected,threshold_original,status_original,n_unique_islands_original,n_clusters_original,median_trials_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,distance_q_original
all_observed,tropical,green_brown_inconspicuous,confirmatory,50,unconditional,fit,1494,111,26.0,0.03474481977666932,0.014535283357081255,0.016831045615277065,,,,0.04964538882006403,50,fit,1494,111,26.0,0.0388020817830637,0.0146368477984378,0.0080257116367962,,,,0.0401285581839811
all_observed,tropical,red_pink,confirmatory,50,unconditional,fit,1494,111,26.0,0.042792019874183906,0.021030760331793553,0.041877564823783214,,,,0.06979594137297203,50,fit,1494,111,26.0,0.0403543106478425,0.0212397507861594,0.0574406322489066,,,,0.0919888196445298
all_observed,tropical,white,confirmatory,50,unconditional,fit,1494,111,26.0,0.048802220780154504,0.02095399775291357,0.01985815552802561,,,,0.04964538882006403,50,fit,1494,111,26.0,0.0469489376256478,0.02096845685606,0.0251541700488426,,,,0.0628854251221066
all_observed,tropical,yellow_orange,confirmatory,50,unconditional,fit,1494,111,26.0,0.03246412876144558,0.018964724414684334,0.08693048461679019,,,,0.10866310577098774,50,fit,1494,111,26.0,0.032579528270594,0.0182095256673472,0.0735910557156238,,,,0.0919888196445298
all_observed,tropical,blue_purple,pilot,30,conditional_selfing,fit,1103,104,56.0,-0.06046216788553416,0.026601861652043285,0.023034933806320688,0.3705487366824385,0.03248413370889847,3.855035246843492e-30,0.03839155634386781,30,fit,1103,104,56.0,-0.0601572052136987,0.026573870888466,0.0235880943437396,0.3715673366676248,0.0325598809517797,3.6503213082799994e-30,0.0393134905728994
all_observed,tropical,green_brown_inconspicuous,pilot,30,conditional_selfing,fit,1103,104,56.0,0.04121735754751531,0.01509743032977579,0.006331685940345157,-0.036787679905959325,0.02158395721048493,0.08830652893166789,0.01582921485086289,30,fit,1103,104,56.0,0.0454122006705838,0.0151795023853211,0.0027744770067377,-0.038921545326412,0.0215520164274549,0.0709284603468205,0.0069361925168442
all_observed,tropical,red_pink,pilot,30,conditional_selfing,fit,1103,104,56.0,0.03888364974930254,0.021485993418805735,0.07033909129222536,0.028035232930370246,0.023874041092709995,0.24027578100251326,0.0879238641152817,30,fit,1103,104,56.0,0.0360397906317867,0.0215719015395732,0.0947844783839064,0.0282287939336595,0.0239343220369047,0.2382280511335132,0.118480597979883
all_observed,tropical,white,pilot,30,conditional_selfing,fit,1103,104,56.0,0.06813723095950863,0.019807601356001795,0.0005818137758072307,-0.14806736463584547,0.024307822196179253,1.1196499871068387e-09,0.0029090688790361532,30,fit,1103,104,56.0,0.0670403256163278,0.0195701709273654,0.0006133567505215,-0.1489670273181023,0.0244159696369056,1.052666262648588e-09,0.0030667837526079
all_observed,tropical,yellow_orange,pilot,30,conditional_selfing,fit,1103,104,56.0,0.026598240949298274,0.01922620809740229,0.16653101889467636,0.04102387380549816,0.02028075100791741,0.043093920871057796,0.16653101889467636,30,fit,1103,104,56.0,0.0261401533150734,0.0184236589806594,0.1559467917232447,0.0406797016240682,0.0204278838203368,0.0464390061740166,0.1559467917232447
all_observed,tropical,blue_purple,pilot,30,unconditional,fit,1494,111,26.0,-0.0042038397630598245,0.0310110028637123,0.8921694292938341,,,,0.892169429293834,30,fit,1494,111,26.0,-0.0014049045160265,0.0307163834191445,0.963519112943944,,,,0.963519112943944
all_observed,tropical,green_brown_inconspicuous,pilot,30,unconditional,fit,1494,111,26.0,0.03474481977666932,0.014535283357081255,0.016831045615277065,,,,0.04964538882006403,30,fit,1494,111,26.0,0.0388020817830637,0.0146368477984378,0.0080257116367962,,,,0.0401285581839811
all_observed,tropical,red_pink,pilot,30,unconditional,fit,1494,111,26.0,0.042792019874183906,0.021030760331793553,0.041877564823783214,,,,0.06979594137297203,30,fit,1494,111,26.0,0.0403543106478425,0.0212397507861594,0.0574406322489066,,,,0.0919888196445298
all_observed,tropical,white,pilot,30,unconditional,fit,1494,111,26.0,0.048802220780154504,0.02095399775291357,0.01985815552802561,,,,0.04964538882006403,30,fit,1494,111,26.0,0.0469489376256478,0.02096845685606,0.0251541700488426,,,,0.0628854251221066
all_observed,tropical,yellow_orange,pilot,30,unconditional,fit,1494,111,26.0,0.03246412876144558,0.018964724414684334,0.08693048461679019,,,,0.10866310577098774,30,fit,1494,111,26.0,0.032579528270594,0.0182095256673472,0.0735910557156238,,,,0.0919888196445298
