stratum,context,combination,architecture_label,trait_name,support_tier,threshold,model,status,n_unique_islands,n_clusters,median_trials,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,distance_q
all_observed,northern_midlatitude,yellow_orange__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,1726,82,15.0,0.009546207891430486,0.047108227276136366,0.8394131589582967,-0.04528384062412294,0.06797897244922863,0.5053185364076884,0.9039834019550888
all_observed,northern_high_latitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,305,58,5.0,-0.22927872146302186,0.08270119712142751,0.00556489080665936,,,,0.01947711782330776
all_observed,northern_high_latitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,299,56,6.0,-0.2207113957907998,0.08319286046664333,0.007977777708924702,-0.14524286396591757,0.09869648640953328,0.1411258742767408,0.022337777584989164
all_observed,northern_high_latitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,unconditional,fit,305,58,5.0,-0.22927872146302186,0.08270119712142751,0.00556489080665936,,,,0.01947711782330776
all_observed,northern_high_latitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,conditional_selfing,fit,299,56,6.0,-0.2207113957907998,0.08319286046664333,0.007977777708924702,-0.14524286396591757,0.09869648640953328,0.1411258742767408,0.022337777584989164
all_observed,northern_high_latitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,271,55,9.0,-0.31046615180782267,0.093631278878032,0.0009136877949131582,,,,0.004263876376261405
all_observed,northern_high_latitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,260,54,10.0,-0.2979040591995794,0.08721898898174318,0.0006364465671608098,-0.17143089925227262,0.18351829072054548,0.35023414520474644,0.0029700839800837786
all_observed,northern_high_latitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,unconditional,fit,271,55,9.0,-0.31046615180782267,0.093631278878032,0.0009136877949131582,,,,0.004263876376261405
all_observed,northern_high_latitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,conditional_selfing,fit,260,54,10.0,-0.2979040591995794,0.08721898898174318,0.0006364465671608098,-0.17143089925227262,0.18351829072054548,0.35023414520474644,0.0029700839800837786
all_observed,northern_high_latitude,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,294,57,5.0,-0.26477565263176484,0.06999250472550116,0.00015500274441287117,,,,0.0010850192108900981
all_observed,northern_high_latitude,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,289,56,6.0,-0.2633587932737633,0.06621466578070974,6.968803127882929e-05,0.0030093856125190666,0.1415407738106651,0.9830369627298045,0.000487816218951805
all_observed,northern_high_latitude,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,unconditional,fit,294,57,5.0,-0.26477565263176484,0.06999250472550116,0.00015500274441287117,,,,0.0010850192108900981
all_observed,northern_high_latitude,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,conditional_selfing,fit,289,56,6.0,-0.2633587932737633,0.06621466578070974,6.968803127882929e-05,0.0030093856125190666,0.1415407738106651,0.9830369627298045,0.000487816218951805
