accepted_species,source_excel_row,SI,SC,Mixed mating,autonomous selfing/agagamospermy,evidence for selfing,references,notes,notes.1,notes.2,locality,review_status,source_record,source_sha256,compatibility_flag_present
Ceratostylis himalaica,1012,,,,,,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Ceratostylis subulata,1013,,,,,,Ridley 1896,as Ceratostylis malaccensis,,,Malaysia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cylindrolobus lamonganensis,1015,,,,,,Ridley 1896,,,,Thailand,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Eria javanica,1024,,1,,1,2,Schlechter 1914 cited by Catling 1990,,,,"Asia: C Taiwan, China (S Yunnan) NE India, Indonesia, Laos, Malaysia, Myanmar, New Guinea, Philippines, Thailand",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Oxystophyllum excavatum,1032,,1,,1,2,Smith 1928 cited by Catling 1990,,,,Malesia (Borneo),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Phreatia densiflora,1034,,1,,1,2,Schlechter cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Phreatia microphyton,1036,,1,,1,2,Schlechter 1914 cited by Catling 1990,,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Pinalia amica,1039,,,,,,Wu et al. 2023,,,,China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pinalia excavata,1041,,1,,1,2,King & Pantling 1898 cited by Catling 1990,,,,"China (S and SE Xizang) Bhutan, India (Sikkim), Nepal ",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Pinalia saccifera,1044,,,,,,Ridley 1896,,,,Malaysia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Thelasis capitata,1048,,1,,1,2,Smith 1928 cited by Catling 1990,,,,Padang ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Thelasis micrantha,1051,,1,,1,2,Schlechter 1914 cited by Catling 1990,as Thalsia abbreviata,,,New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Thelasis pygmaea,1052,,,,,,Wu et al. 2023,,,,China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Trichotosia dasyphylla,1053,,,,,,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Trichotosia poculata,1054,,,,,,Ridley 1896,as Eroa [pci;ata,,,Malaysia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Trichotosia teysmannii,1055,,1,,1,2,Smith 1928 cited by Catling 1990,,as T. dujakorum,,Malesia (Borneo),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Trichotosia vulpina,1056,,,,,,van der Cingel 2001,,,,Malesia Philippines,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Elleanthus capitatus,1061,,,,,,Dodson 1962; Neubig et al. 2015 as E. cynarocephalus,,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Elleanthus cordidactylus,1063,,1,,1,2,Ackerman & Collaborators 2014,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Elleanthus longibracteatus,1069,,,,,,Méndez pers obs fide Karremans,,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Sobralia decora,1085,,,,,,Damon & Salas-Roblero 2007; Neubig et al. 2015; Dressler in van der Pijl & Dodson 1966; Pemberton in prep 2023,,,,"N Am Mex SFlorida, S Am Ecu",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Sobralia macrantha,1098,,,,,,Neubig et al. 2015,,,,S Am Ecu,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Sobralia macrophylla,1099,,,,,,Neubig et al. 2015,,,,S Am Ecu,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Psilochilus macrophyllus,1111,,1,1,1,2,Ackerman 1995,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Triphora gentianoides,1114,,1,,1,,Rothacker 2005,,,,"N Am, WI, C Am, S Am",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Triphora trianthophora,1116,,1,,,,"Medley 1979, Catling 1984; Williams 1994",,,,N Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Corymborkis veratrifolia,1119,,,,,,"Comber 1990, Pearce & Cribb 2002 cited by Rasmussen 2005",,,,"Asia India, SE Asia, Malesia",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Tropidia curculigoides,1120,,,,,,Huda & Wilcock 2008,,,,Asia Bangladesh,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Tropidia viridifusca,1121,,,,,,Hoogland in Lewis & Cribb 1989,,,,Norfolk Island,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Bromheadia alticola,1122,,,,,,Ridley 1891 cited by van der Pijl & Dodson 1966,,,,"SE Asia, Malesia",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Bromheadia finlaysoniana,1123,,,,,,Ridley 1891 cited by van der Pijl & Dodson 1966,as B. palustris,,,"SE Asia, Malesia, New Guinea, Austra",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Aerangis fuscata,1127,,,,,,Nilsson et al. 1987,,,,Mad,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Aerangis kotschyana,1128,,,,,,Martins & Johnson 2007,,,,Afr (Kenya),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Aerangis punctata,1130,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Aeranthes grandiflora,1134,,1,,,1,Agnew 1986,,,,Mad,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Angraecopsis parviflora,1137,,,,,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Campylocentrum micranthum,1170,,1,,,1,Cabral & Pansarin 2016,,,,S Am Bra (São Paulo),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cyrtorchis arcuata,1172,,,,,,Luyt 2002,,,,S Afr,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Jumellea divaricata,1176,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarene (Reunion) ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Jumellea recurva,1180,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarene (Reunion) ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Jumellea stenophylla,1182,,1,,1,1,Micheneau et al. 2008,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Jumellea teretifolia,1184,,,,,,Nilsson et al. 1987,,,,Mad,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Neobathiea grandidierana,1195,,,,,,Nilsson et al. 1987,,,,Mad,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Oeonia rosea,1196,,,,,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Oeoniella polystachys,1197,1,,,,1,Agnew 1986; Jacquemyn et al. 2005,,,,"Mad, Mascarenes, Seychelles Comoros",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Acampe ochracea,1204,,1,,,1,Huda & Wilcock 2008,,,,Asia Bangladesh,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Aerides falcata,1208,,,,,,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Bogoria moorei,1214,,,,,,Jones 1988; van der Cingel 2001,,,,Austra Queensland,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cleisostoma fuerstenbergianum,1218,,1,,,1,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cleisostoma linearilobatum,1219,,1,,,1,Zhou et al. 2016,,,1200,Asia China (Yunnan),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cleisostoma paniculatum,1220,,1,,,1,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cleisostoma parishii,1221,,1,,1,2,"Darwin 1877, Van der Cingel 2001 cited by Zhou et al. 2016",,,,Asia China Myanmar,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cleisostoma williamsonii,1223,,,,,,Wu et al. 2023,,,,Asia China,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cottonia peduncularis,1225,,,,,,Yadav 1995 cited by van der Cingel 2001,,,,India,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Diaphananthe pellucida,1228,,,,,2,Johansson 1974,,,,W Afr (Liberia),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gastrochilus calceolaris,1231,,,,,,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Luisia morsei,1238,,,,,,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Luisia teres,1239,,1,,,1,Tetsu & Suetsugu 2015; Sugiura et al. 2020; Arakaki et al. 2016,,,,"Japan (Okinawa, Kyushu)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Luisia trichorhiza,1240,,,,,,Huda & Wilcock 2008,,,,Asia Bangladesh,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Micropera pallida,1241,,,,,,Huda & Wilcock 2008,,,,Asia Bangladesh,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Papilionanthe teres,1243,,,,,,van der Pijl 1954 cited by van der Pijl & Dodson 1966,,,,S Asia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Peristeranthus hillii,1249,,,,,,Forster PI 1988 cited by Pedersen et al. 2013; Wallace 1980 cited by van der Cingel 2001,,,,"Austra (Queensland, New South Wales)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pomatocalpa diffusum,1259,,,,,,Ong 2015,,,,Asia Malaysia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pomatocalpa macphersonii,1260,,,,,,Cingel 2001 cited by Ong 2011b,,,,"New Guinea, Austra (Queensland)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pomatocalpa undulatum,1261,,,,,,Huda & Wilcock 2008,,,,Asia Bangladesh,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Rhynchostylis retusa,1262,,1,,,1,"Huda & Wilcock 2008, Buragohain et al. 2015, Magotra et al. 2023",,,,"Asia, India(Assam), Bangladesh",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Robiquetia succisa,1263,,1,,,1,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Schoenorchis gemmata,1265,,,,,,"Stpiczynska et al. 2011, Wu et al. 2023","Wu et al. report the presence of nectar in Yunnan but at ""2"" level evidence",,,"S Asia, Malesia, New Guinea, Taiwan,China (Yunnan)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Schoenorchis paniculata,1266,,1,,1,2,Smith 1928 cited by Catling 1990,,,,Malesia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Taeniophyllum muelleri,1270,,1,,1,,van der Cingel 2001,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Thrixspermum centipeda,1271,,,,,,Wu et al. 2023,,,,Asia China Yunnan,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Thrixspermum trichoglottis,1272,,,,,,"Ong 2011, Carr 1928",,,,"Asia, Malaysia",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Vanda ampullacea,1274,,,,,,Stpiczynska et al. 2011,,,,S Asia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Vanda coerulea,1277,,1,,,1,"Buragohain & Chaturvedi 2016, Wu et al. 2023",,,,"Asia India (Nagaland), China (Yunnan)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Vanda concolor,1278,,1,,,1,Zhang et al. 2015,,,,Asia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Vanda falcata,1282,,1,,,1,"Agnew 1986, Yukawa in Hidayat et al. 2005, Gardiner et al. 2013",,,,"Asia, China, Japan",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Vanda tessellata,1286,,1,,,1,Gunasekara et al. 2024; Buragohain et al. 2025,,,,Asia Sri Lanka,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Vanda tricolor,1287,,,,,,Holttum 1953 cited by van der Pijl & Dodson 1966; Chase et al. 2017 cited by Salguero & Pupulin 2020,,,,Malesia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Polystachya caloglossa,1291,,,,,,Davies et al. 2002,,,,C Afr,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Polystachya elegans,1296,,,,,,Davies et al. 2002,,,,C Afr,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Polystachya fusiformis,1300,,1,,1,2,Schelpe 1970 cited by Catling 1990,,,,S Afr,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Polystachya golungensis,1301,,1,,1,,van der Cingel 2001,,,,Ethiopia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Polystachya seticaulis,1309,,,,,,Davies et al. 2002,,,,W Afr,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Grammatophyllum speciosum,1337,,,,,,"Ridley 1905, van der Pijl & Dodson 1966, van der Cingel 2001 ","the halictid report by van der Cingel was of cult plts in Florida, USA",,,Asia Singapore,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Grammatophyllum stapeliiflorum,1338,,1,,,1,Forbes 1885,,as Cymbidium stepelioides,,Malesia (Java),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cyrtochiloides ochmatochila,1402,,,,,,Dodson 1965 cited by van der Pijl & Dodson 1966,,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cyrtochilum meirax,1405,,1,,1,2,"Gomiz et al. 2017, Ackerman et al. 2014",,WI plants appear autogamous,,"S Am, WI",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Gomesa albinoi,1411,,,,,,Chiron 2010,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gomesa ciliata,1415,,,,,,Faria 2004,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gomesa crispa,1417,,,,,,Davies & Stpiczynska 2008,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gomesa forbesii,1422,,,,,,Faria 2004,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gomesa lietzei,1433,,,,,,Chiron 2010,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gomesa longipes,1436,,,,,,Gomiz et al. 2017,,,,"S Am Per, Para, Bra",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gomesa paranensoides,1442,,,,,,"Gomiz et al. 2017, Singer & Cocucci 1999; Pansarin et al. 2020",,as Oncidium paranaense,,S Am Bra (Paraná),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gomesa praetexta,1443,,,,,,Faria 2004,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gomesa recurva,1448,,,,,,Gomiz et al. 2017 (oils); Pansarin et al. 2020 (deceit),,Pansarin et al. 2020 did not detect any reward,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Gomesa sarcodes,1450,,,,,,Chiron 2010,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Ionopsis satyrioides,1463,,,,,,Pansarin et al. 2020,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Leochilus puertoricensis,1466,,,,,,Chase 1986b,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Lockhartia acuta,1468,,,,,,Gomiz et al. 2017,,,,"C Am, S Am (Col Ven Trinidad)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Lockhartia micrantha,1475,,,,,,Silvera 2002,,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Lockhartia oerstedii,1478,,,,,,"Silvera 2002, Dodson in van der Pijl & Dodson 1966, Gomiz et al. 2017",,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Notylia lyrata,1493,,,,,,Pansarin et al. 2020,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Notylia pentachne,1497,,,,,,"Dressler 1968, Roubik 1992, Ackerman 1983a*; Rouobik & Hanson 2004","*Ackerman 1983 caught Eg cognata, Ex frontalis, El meriana with N pentachne pollinaria -- verified by Dressler",,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Ornithocephalus bicornis,1523,,,,,,Dressler in van der Pijl & Dodoson 1966; Pansarin et al. 2020,,,,"C Am, S Am Bra",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Ornithocephalus ciliatus,1524,,,,,,Gomiz et al. 2017; Pansarin et al. 2020,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Ornithocephalus cochleariformis,1525,,,,,,"Brito 2001, Cingel 2001 cited by Silvera 2002",,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Ornithocephalus gladiatus,1526,,,,,,"Gomiz et al. 2017, Dodson 1965 cited by van der Pijl & Dodson 1966; Pansarin et al. 2020",,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Ornithocephalus myrticola,1529,,,,,,Pansarin et al. 2020,,,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Ornithocephalus powellii,1531,,,,,,"Dressler in van der Pijl & Dodoson 1966, Brito 2001 cited by Castro & Singer 2019",,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Phymatidium falcifolium,1533,,,,,,"Singer et al. 2006; Reis 2005, Reis et al. 2007; Pansarin et al. 2020",,as P. tillandsioides,,S Am Bra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Rossioglossum grande,1545,,,,,,Dodson 1965 cited by van der Pijl & Dodson 1966,,,,C Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
