stratum,context,outcome,n_islands_original,n_species_trials_original,kappa_original,optimizer_success_original,geography_slope_log_odds_original,cluster_robust_se_original,p_value_original,n_islands_corrected,n_species_trials_corrected,kappa_corrected,optimizer_success_corrected,geography_slope_log_odds_corrected,cluster_robust_se_corrected,p_value_corrected,_merge
all_observed,northern_midlatitude,shallow_open_tube,1797,45310,93.51352571225004,True,0.0181256346579744,0.0423017340639843,0.6682984626312578,1796,45262,92.6838033307065,True,0.0131157235012674,0.044078774947219,0.7660451860577827,both
all_observed,southern_extratropical,actinomorphic_symmetry,264,22412,31.17904664900272,True,0.1185713570501417,0.0578255248669123,0.040315464341095,264,22412,31.31414621018811,True,0.1214782446941159,0.0521839962867021,0.0199183101939159,both
all_observed,southern_extratropical,autonomous_selfing,245,10608,179.6063909705091,True,0.0924790680411497,0.0639278314886588,0.1480043088702245,245,10608,173.5254051891635,True,0.0944413598004381,0.064383339343806,0.1424140818136531,both
all_observed,southern_extratropical,generalized_form,241,12034,74.17142984012543,True,0.148132524534454,0.0473764359757877,0.0017677232153031,241,12034,72.745495104356,True,0.1512690235741353,0.0483889183500601,0.0017713600261183,both
all_observed,southern_extratropical,plain_colour,262,30352,1266.94634820304,True,0.1007631445628641,0.0200391368525344,4.948018572838708e-07,262,30352,1156.2638376474622,True,0.0934894315437881,0.0167758480933043,2.505927702601816e-08,both
all_observed,southern_extratropical,self_compatibility,251,14614,186.536564702968,True,0.1649745824146845,0.0510733650612518,0.0012372569179556,251,14614,175.94562943818124,True,0.1379215989150859,0.0492469034005508,0.0051005386343952,both
all_observed,southern_extratropical,selfing_mating_system,209,6737,162754.79141900392,True,0.0326543832401573,0.037622168610059,0.3854184748339703,209,6737,162754.79141900392,True,0.0089362275895362,0.0328657298987716,0.7856980776329505,both
all_observed,southern_extratropical,shallow_open_tube,194,3735,28.843101986129486,True,-0.0895701387781969,0.1183403539272793,0.4491182564262834,194,3735,32.703292416392465,True,-0.1678857434506905,0.0766694266906939,0.0285434456709571,both
all_observed,tropical,actinomorphic_symmetry,1352,107016,40.59077210971298,True,0.0912919338940207,0.037607434644067,0.0152034135683708,1352,107016,40.63455163444869,True,0.0859515427549354,0.0360402613747472,0.0170848939689363,both
all_observed,tropical,autonomous_selfing,1204,33814,67.86785832381105,True,0.1577806601443619,0.0359570113267544,1.1437884654648111e-05,1204,33814,66.26683851384955,True,0.154197259645664,0.0384958289363788,6.187135756778229e-05,both
all_observed,tropical,generalized_form,1086,30703,157.50197895313323,True,0.1882612176849256,0.0433502328302925,1.4068075424146365e-05,1086,30703,157.26059961016588,True,0.1893269076467982,0.0465025844097574,4.674745362378591e-05,both
all_observed,tropical,plain_colour,1359,115451,108.95083888448994,True,0.0335937333989993,0.03330222907475,0.3130929639172611,1359,115451,108.94874622692257,True,0.0330649386661899,0.0329425068902142,0.3155152677584063,both
all_observed,tropical,self_compatibility,1207,48063,122.51722861241996,True,0.1179311465307611,0.0365378597385361,0.00124814885019,1207,48063,119.86830757678165,True,0.1045007308635562,0.0342240100636136,0.0022623903401126,both
all_observed,tropical,selfing_mating_system,697,7313,233.516963359818,True,0.1168970137185974,0.0452213459390014,0.0097380031258809,697,7313,236.4257495744268,True,0.1067250011336287,0.0475663519536863,0.0248511994843824,both
all_observed,tropical,shallow_open_tube,1044,22307,25.37716039235113,True,-0.0046238871928284,0.0534817931932805,0.9311029616919424,1044,22307,25.38308040456134,True,-0.0054513080330262,0.0549631340236109,0.9209944239443882,both
native_nonendemic,northern_midlatitude,actinomorphic_symmetry,237,34108,191.6008672476956,True,0.0518998518958543,0.0278826989099773,0.062692791214583,237,34108,201.390673554173,True,0.0633016081919134,0.0277329161030528,0.0224572280976487,both
native_nonendemic,northern_midlatitude,autonomous_selfing,236,17413,274.38504799039777,True,-0.0169680332909312,0.0541788862692668,0.7541398503363586,236,17413,280.03219540751513,True,-0.025165848728669,0.0575838331978139,0.6620897664649721,both
native_nonendemic,northern_midlatitude,generalized_form,233,17883,125.675272068864,True,0.0187259173240604,0.0342378016802752,0.5844220794415709,233,17883,125.40434976415712,True,0.0203912438383573,0.0385565593136513,0.596898579541981,both
native_nonendemic,northern_midlatitude,plain_colour,238,36574,325.6593003296196,True,0.0438732259546801,0.0259618717033604,0.0910451790073631,238,36574,327.92887600997466,True,0.0464848927309341,0.0286831109587547,0.1050956480488541,both
native_nonendemic,northern_midlatitude,self_compatibility,238,25564,243.97912477309944,True,0.0367671172024986,0.0274573918247628,0.1805508788655375,238,25564,242.2469404036308,True,0.036501593425164,0.0327737241500993,0.2653883098342919,both
native_nonendemic,northern_midlatitude,selfing_mating_system,230,15326,157.09129132556671,True,0.061469537744583,0.0409607998328159,0.1334352866513795,230,15326,149.30039138416782,True,0.0534945147144732,0.0459671475613128,0.244523164274547,both
native_nonendemic,northern_midlatitude,shallow_open_tube,228,4313,103.9693068187714,True,0.0091926126463999,0.0938895710026492,0.9220047340199246,228,4313,101.2297845075588,True,0.0349637173660878,0.0993518573459598,0.7248996808414918,both
native_nonendemic,tropical,actinomorphic_symmetry,133,15675,64.0135330447732,True,-0.0478081965052138,0.0531474588890235,0.3683657876173508,133,15675,63.3962173357423,True,-0.0420179351277083,0.0582774679737743,0.4709107740431251,both
native_nonendemic,tropical,autonomous_selfing,132,4452,162754.79141900392,True,0.1234368316736276,0.0396089711417414,0.0018308263264006,132,4452,162754.79141900392,True,0.1193837946341721,0.0412454761550613,0.0037979916292571,both
native_nonendemic,tropical,generalized_form,131,4362,341.8367107473378,True,-0.0072711265899521,0.047992950039541,0.8795781115527601,131,4362,339.66587839432754,True,-0.014469012026227,0.0508102539128201,0.7758237349785773,both
native_nonendemic,tropical,plain_colour,136,17662,682.3821357113425,True,0.0430189439472803,0.0237899524239707,0.0705626140561897,136,17662,775.0074269845368,True,0.0473651395523977,0.0208921805206875,0.0233827229271068,both
native_nonendemic,tropical,self_compatibility,132,6773,555.4022895153219,True,0.0130084494846025,0.0476782031410927,0.7849773622752888,132,6773,622.2992269554409,True,0.0186312706826118,0.0476950703823962,0.6960684945475177,both
native_nonendemic,tropical,selfing_mating_system,90,731,162754.79141900392,True,-0.0181777091675175,0.0784544081179295,0.8167727857196326,90,731,162754.79141900392,True,-0.0151008045960306,0.0754269727289807,0.8413208010275846,both
native_nonendemic,tropical,shallow_open_tube,125,3199,1077.1403847522677,True,-0.0491032217512423,0.1517339533425306,0.7462303364558001,125,3199,162754.79141900392,True,-0.0396340326915353,0.0649949003797312,0.5419928495918912,both
