island_id,analysis_regime,island_latitude,island_longitude,distance_to_continent_km,spherical_coast_distance_km,seconds,island_segment_count
gshhg_2.3.7_h_10e2d7562df970ee6c69,tropical,-2.7248395384615383,-42.09213962447698,0.0,1.354188754200508,0.0150000001303851,27
gshhg_2.3.7_h_10f33ba046db0bbb9e84,tropical,22.348273884615384,114.0959880853441,0.0,0.4211486912756043,0.0159999998286366,15
gshhg_2.3.7_h_11090df1dc7638bf6c09,northern_midlatitude,37.15356646153847,27.516439153882192,0.0,0.3759757094630674,0.0160000000614672,17
gshhg_2.3.7_h_11d97c473976c2678aeb,northern_midlatitude,65.38067746153847,21.74914438448592,0.0,0.0970971047544736,0.0309999999590218,25
gshhg_2.3.7_h_120fd365823c5cb31407,tropical,-14.875023884615384,129.24149619111046,0.0,0.2000966088047818,0.0309999999590218,16
gshhg_2.3.7_h_124c7e5c68f21d88d888,tropical,-18.35665184615385,146.2324999002905,0.0,0.6341411093946719,0.0309999999590218,112
gshhg_2.3.7_h_127611eb9d936f4f9edf,northern_high_latitude,66.94060453846154,-107.83723247246776,0.0,1.389138295584628,0.0309999999590218,28
gshhg_2.3.7_h_1276f2f44024aa60cba8,northern_high_latitude,67.11083776923078,13.878958553918146,0.0,4.877725657037031,0.0,23
gshhg_2.3.7_h_1325ae5660ff2bdb98ca,northern_high_latitude,68.47247250000001,16.30529988123248,0.0,0.1533227863847127,0.0309999999590218,72
gshhg_2.3.7_h_13907b2efbcb06f1f200,northern_midlatitude,62.82342946153846,6.882276029906546,0.0,1.380039802530836,0.0150000001303851,71
gshhg_2.3.7_h_13d86f27c04d61453552,northern_midlatitude,65.77477530769231,12.441986744950505,0.0,3.2592500953583747,0.0470000000204891,25
gshhg_2.3.7_h_14281c414676b2851df6,northern_midlatitude,61.15161084615385,-150.2115677052463,0.0,4.389919334269661,0.0160000000614672,13
gshhg_2.3.7_h_15191ffc76f36c746c4e,northern_midlatitude,59.26206846153846,5.865127050487925,0.0,5.883062405817416,0.0149999998975545,10
gshhg_2.3.7_h_1529b9b7ed38c8fc7b8c,northern_midlatitude,52.54438038461538,-55.94952498563666,0.0,0.9849422571415682,0.0159999998286366,20
gshhg_2.3.7_h_15519718a6290346ec8a,northern_midlatitude,57.02412296153847,23.989745776019955,0.0,0.0131277094949778,0.0309999999590218,19
gshhg_2.3.7_h_15e7f5f0df3666348dc1,northern_midlatitude,60.08577369230769,-148.17966281972446,0.0,0.3365787261246957,0.0470000000204891,85
gshhg_2.3.7_h_15e9c17a09d3e9ba62d6,northern_midlatitude,54.748758384615385,-164.11216261064328,0.0,0.5339601485794854,0.0310000001918524,233
gshhg_2.3.7_h_1622e117e9a2bf0f5fea,northern_midlatitude,60.128931461538464,5.994523990236523,0.0,0.7269202354874529,0.0159999998286366,33
gshhg_2.3.7_h_164800bcef4f926df516,northern_midlatitude,65.966684,12.629273742008833,0.0,0.5338813165059375,0.0780000002123415,70
gshhg_2.3.7_h_16e56ae8a522cb8db9f2,northern_midlatitude,56.0358335,-132.02185210821295,0.0,0.7252534490189716,0.0309999999590218,27
gshhg_2.3.7_h_1743c85e1b140f083630,tropical,-16.380839384615385,124.23344318158266,0.0,0.7760913444559071,0.0150000001303851,25
gshhg_2.3.7_h_178c0f457d22868a278a,tropical,2.584897153846154,-78.15438333406547,0.0,0.2278163009146744,0.0630000000819563,58
gshhg_2.3.7_h_17978b061b286a2f6eac,northern_midlatitude,59.5826665,150.39594449159702,0.0,2.118532263267552,0.0149999998975545,10
gshhg_2.3.7_h_179f05d0657a1c52c52d,southern_extratropical,-50.26350638461538,-74.87171266825075,0.0,10.193740789828162,0.0150000001303851,21
gshhg_2.3.7_h_180ebda40b9252c135e1,northern_midlatitude,64.02194038461538,9.897738882310728,0.0,2.323970489827184,0.0160000000614672,31
gshhg_2.3.7_h_18410839473953d4cccd,northern_midlatitude,53.99596576923077,11.437404934008969,0.0,0.0027432311255307,0.0159999998286366,27
gshhg_2.3.7_h_18685e3813d015b30980,northern_midlatitude,58.983671,5.935375520449728,0.0,1.6248337013128924,0.0160000000614672,16
gshhg_2.3.7_h_18abb1e816981eb171b6,northern_midlatitude,65.67667084615384,12.369441253903874,0.0,0.3295908008945577,0.0310000001918524,20
