"","genus_species","Family","mating_system"
"1202","Comparettia falcata","Orchidaceae","sc"
"1203","Conospermum undulatum","Proteaceae","si"
"1204","Conradina glabra","Lamiaceae","sc"
"1205","Conringia orientalis","Brassicaceae","sc"
"1206","Conyza ramosissima","Asteraceae","sc"
"1207","Copaifera langsdorffii","Fabaceae","si"
"1209","Copaifera pubiflora","Fabaceae","si"
"1210","Copernicia prunifera","Arecaceae","sc"
"1211","Coptis teeta","Ranunculaceae","sc"
"1212","Corallorhiza bentleyi","Orchidaceae","sc"
"1213","Cordia alliodora","Boraginaceae","si"
"1214","Cordia curassavica","Boraginaceae","na"
"1215","Cordia dodecandra","Boraginaceae","si"
"1216","Cordia sebestena","Boraginaceae","si"
"1218","Cordia subcordata","Boraginaceae","sc"
"1219","Coreopsis auriculata","Asteraceae","si"
"1220","Coreopsis basalis","Asteraceae","si"
"1221","Coreopsis bigelovii","Asteraceae","si"
"1222","Coreopsis californica","Asteraceae","si"
"1223","Coreopsis calliopsidea","Asteraceae","si"
"1224","Coreopsis delphiniifolia","Asteraceae","si"
"1225","Coreopsis douglasii","Asteraceae","si"
"1226","Coreopsis gigantea","Asteraceae","si"
"1227","Coreopsis gladiata","Asteraceae","si"
"1229","Coreopsis grandiflora","Asteraceae","si"
"1231","Coreopsis hamiltonii","Asteraceae","si"
"1232","Coreopsis integrifolia","Asteraceae","si"
"1233","Coreopsis intermedia","Asteraceae","si"
"1234","Coreopsis lanceolata","Asteraceae","si"
"1235","Coreopsis latifolia","Asteraceae","si"
"1236","Coreopsis leavenworthii","Asteraceae","si"
"1237","Coreopsis major","Asteraceae","si"
"1238","Coreopsis maritima","Asteraceae","si"
"1239","Coreopsis nuecensis","Asteraceae","si"
"1240","Coreopsis paludosa","Asteraceae","si"
"1241","Coreopsis pubescens","Asteraceae","si"
"1242","Coreopsis pulchra","Asteraceae","si"
"1243","Coreopsis rosea","Asteraceae","si"
"1244","Coreopsis stillmanii","Asteraceae","si"
"1245","Coreopsis tinctoria","Asteraceae","si"
"1246","Coreopsis tripteris","Asteraceae","si"
"1247","Coreopsis verticillata","Asteraceae","si"
"1248","Coreopsis wrightii","Asteraceae","si"
"1249","Cornus capitata","Cornaceae","sc"
"1250","Coronilla scorpioides","Fabaceae","sc"
"1252","Coronilla varia","Fabaceae","na"
"1253","Coryphantha elephantidens","Cactaceae","si"
"1254","Cosmos bipinnatus","Asteraceae","si"
"1255","Costus pulverulentus","Costaceae","na"
"1256","Costus scaber","Costaceae","na"
"1257","Cotula australis","Asteraceae","sc"
"1258","Cotula coronopifolia","Asteraceae","sc"
"1259","Coutarea hexandra","Rubiaceae","na"
"1260","Crambe arborea","Brassicaceae","sc"
"1261","Crambe hispanica","Brassicaceae","sc"
"1262","Crambe tatarica","Brassicaceae","si"
"1263","Cranichis candida","Orchidaceae","sc"
"1264","Craniolaria annua","Martyniaceae","na"
"1265","Cratylia argentea","Fabaceae","na"
"1266","Cratylia mollis","Fabaceae","sc"
"1267","Crepis capillaris","Asteraceae","si"
"1268","Crepis foetida","Asteraceae","si"
"1269","Crepis foliosa","Asteraceae","si"
"1270","Crepis paludosa","Asteraceae","si"
"1271","Crepis sancta","Asteraceae","na"
"1272","Crepis tectorum","Asteraceae","sc"
"1273","Crepis triasii","Asteraceae","si"
"1274","Crescentia cujete","Bignoniaceae","sc"
"1275","Crinum asiaticum","Amaryllidaceae","si"
"1276","Crithmum maritimum","Apiaceae","sc"
"1277","Crocanthemum canadense","Cistaceae","sc"
"1278","Crotalaria brevidens","Fabaceae","sc"
"1279","Crotalaria cunninghamii","Fabaceae","na"
"1280","Crotalaria incana","Fabaceae","sc"
"1281","Crotalaria juncea","Fabaceae","na"
"1282","Crotalaria micans","Fabaceae","sc"
"1284","Crotalaria pallida","Fabaceae","sc"
"1288","Crotalaria purshii","Fabaceae","sc"
"1289","Crotalaria rotundifolia","Fabaceae","sc"
"1290","Crotalaria sagittalis","Fabaceae","sc"
"1291","Crotalaria spectabilis","Fabaceae","sc"
"1292","Crotalaria stipularia","Fabaceae","sc"
"1293","Crotalaria trifoliastrum","Fabaceae","sc"
"1294","Crotalaria vitellina","Fabaceae","sc"
"1295","Croton dichrous","Euphorbiaceae","si"
"1296","Croton hirtus","Euphorbiaceae","na"
"1297","Croton urucurana","Euphorbiaceae","si"
"1298","Crucihimalaya himalaica","Brassicaceae","sc"
"1299","Crucihimalaya wallichii","Brassicaceae","sc"
"1300","Cryptanthus burle-marxii","Bromeliaceae","si"
"1301","Cryptotaenia canadensis","Apiaceae","sc"
"1302","Cuatresia cuneata","Solanaceae","si"
"1303","Cuatresia exiguiflora","Solanaceae","si"
"1304","Cuatresia riparia","Solanaceae","si"
"1305","Cucurbita foetidissima","Cucurbitaceae","sc"
"1306","Cullen australasicum","Fabaceae","sc"
"1307","Cunila galioides","Lamiaceae","si"
"1308","Cupania oblongifolia","Sapindaceae","si"
"1309","Cuphea laminuligera","Lythraceae","sc"
"1310","Cuphea lanceolata","Lythraceae","sc"
"1311","Cuphea lutea","Lythraceae","sc"
"1312","Curatella americana","Dilleniaceae","na"
"1313","Cyanea angustifolia","Campanulaceae","sc"
"1314","Cyclamen creticum","Primulaceae","sc"
"1315","Cyclopogon luteoalbus","Orchidaceae","sc"
"1316","Cymbidium dayanum","Orchidaceae","sc"
"1317","Cymbopogon gratus","Poaceae","sc"
"1318","Cymbopogon procerus","Poaceae","sc"
"1319","Cynara cardunculus","Asteraceae","sc"
"1320","Cynoglossum officinale","Boraginaceae","sc"
"1325","Cynosurus cristatus","Poaceae","si"
"1326","Cypella pusilla","Iridaceae","sc"
"1327","Cypripedium lichiangense","Orchidaceae","sc"
"1328","Cypripedium subtropicum","Orchidaceae","sc"
"1329","Cyrtanthus contractus","Amaryllidaceae","si"
"1330","Cyrtanthus mackenii","Amaryllidaceae","sc"
"1331","Cyrtanthus ventricosus","Amaryllidaceae","si"
"1332","Cyrtochilum cimiciferum","Orchidaceae","si"
"1333","Cyrtopodium hatschbachii","Orchidaceae","sc"
"1334","Cyrtopodium punctatum","Orchidaceae","si"
"1335","Cytisus multiflorus","Fabaceae","si"
"1337","Cytisus scoparius","Fabaceae","na"
"1339","Cytisus striatus","Fabaceae","si"
"1340","Dactylis glomerata","Poaceae","si"
"1341","Dactyloctenium radulans","Poaceae","sc"
"1342","Dactylorhiza fuchsii","Orchidaceae","sc"
"1343","Dactylorhiza viridis","Orchidaceae","sc"
"1344","Dahlstedtia pentaphylla","Fabaceae","sc"
"1345","Dahlstedtia pinnata","Fabaceae","sc"
"1346","Dalbergia cochinchinensis","Fabaceae","si"
"1348","Dalbergia miscolobium","Fabaceae","si"
"1349","Dalbergia oliveri","Fabaceae","sc"
"1350","Dalbergia retusa","Fabaceae","si"
"1351","Dalea carthagenensis","Fabaceae","sc"
"1353","Dalea ornata","Fabaceae","sc"
"1354","Dalea purpurea","Fabaceae","sc"
"1355","Dalea searlsiae","Fabaceae","sc"
"1356","Dalechampia scandens","Euphorbiaceae","sc"
"1357","Damnamenia vernicosa","Asteraceae","sc"
"1358","Danthonia californica","Poaceae","sc"
"1359","Danthonia spicata","Poaceae","sc"
"1360","Daphne jezoensis","Thymelaeaceae","sc"
"1361","Daphne laureola","Thymelaeaceae","sc"
"1362","Daphne miyabeana","Thymelaeaceae","sc"
"1363","Datisca glomerata","Datiscaceae","sc"
"1364","Datura ceratocaula","Solanaceae","sc"
"1365","Datura discolor","Solanaceae","sc"
"1366","Datura innoxia","Solanaceae","sc"
"1368","Datura leichhardtii","Solanaceae","sc"
"1371","Datura metel","Solanaceae","sc"
"1372","Datura quercifolia","Solanaceae","sc"
"1374","Datura stramonium","Solanaceae","sc"
"1375","Datura wrightii","Solanaceae","sc"
"1376","Daviesia epiphyllum","Fabaceae","na"
"1377","Daviesia mimosoides","Fabaceae","si"
"1378","Daviesia nudiflora","Fabaceae","si"
"1379","Daviesia pectinata","Fabaceae","si"
"1380","Daviesia suaveolens","Fabaceae","si"
"1381","Decodon verticillatus","Lythraceae","sc"
"1382","Deianira nervosa","Gentianaceae","sc"
"1383","Deinandra arida","Asteraceae","sc"
"1384","Deinandra clementina","Asteraceae","si"
"1385","Deinandra fasciculata","Asteraceae","si"
"1386","Deinandra minthornii","Asteraceae","si"
"1387","Deinandra mohavensis","Asteraceae","sc"
"1388","Delairea odorata","Asteraceae","si"
"1389","Delphinium barbeyi","Ranunculaceae","sc"
"1390","Delphinium nuttallianum","Ranunculaceae","si"
"1391","Dendrocalamus membranaceus","Poaceae","sc"
"1392","Dendrocalamus sinicus","Poaceae","sc"
"1393","Dendroseris litoralis","Asteraceae","sc"
"1394","Dendroseris pruinata","Asteraceae","si"
"1395","Derris elliptica","Fabaceae","sc"
"1396","Derris ovalifolia","Fabaceae","sc"
"1397","Deschampsia caespitosa","Poaceae","si"
"1398","Descurainia incisa","Brassicaceae","sc"
"1399","Descurainia pinnata","Brassicaceae","sc"
"1400","Descurainia sophia","Brassicaceae","sc"
"1401","Desmanthus fruticosus","Fabaceae","sc"
"1402","Desmanthus illinoensis","Fabaceae","sc"
"1405","Desmanthus leptophyllus","Fabaceae","sc"
"1407","Desmanthus paspalaceus","Fabaceae","sc"
"1408","Desmanthus pubescens","Fabaceae","sc"
"1409","Desmanthus subulatus","Fabaceae","sc"
"1410","Desmanthus tatuhyensis","Fabaceae","sc"
"1411","Desmanthus virgatus","Fabaceae","sc"
"1412","Desmodium albiflorum","Fabaceae","sc"
"1413","Desmodium angustifolium","Fabaceae","sc"
"1414","Desmodium arechavaletae","Fabaceae","sc"
"1415","Desmodium axillare","Fabaceae","sc"
"1416","Desmodium batocaulon","Fabaceae","sc"
"1417","Desmodium cajanifolium","Fabaceae","sc"
"1418","Desmodium canadense","Fabaceae","sc"
"1419","Desmodium cinereum","Fabaceae","sc"
"1420","Desmodium cuneatum","Fabaceae","sc"
"1421","Desmodium distortum","Fabaceae","sc"
"1422","Desmodium glabrum","Fabaceae","sc"
"1423","Desmodium grahamii","Fabaceae","sc"
"1424","Desmodium gunnii","Fabaceae","sc"
"1425","Desmodium heterocarpon","Fabaceae","sc"
"1426","Desmodium incanum","Fabaceae","sc"
"1428","Desmodium infractum","Fabaceae","sc"
"1429","Desmodium intortum","Fabaceae","sc"
"1431","Desmodium macrodesmum","Fabaceae","sc"
"1432","Desmodium molliculum","Fabaceae","sc"
"1433","Desmodium prehensile","Fabaceae","sc"
"1434","Desmodium psilophyllum","Fabaceae","sc"
"1435","Desmodium scorpiurus","Fabaceae","sc"
"1436","Desmodium strigillosum","Fabaceae","sc"
"1437","Desmodium tortuosum","Fabaceae","sc"
"1438","Desmodium uncinatum","Fabaceae","sc"
"1441","Desmodium varians","Fabaceae","sc"
"1442","Dianella revoluta","Asphodelaceae","si"
"1443","Dianthus balbisii","Caryophyllaceae","sc"
"1444","Dianthus carthusianorum","Caryophyllaceae","sc"
"1446","Dianthus morisianus","Caryophyllaceae","sc"
"1447","Dianthus pavonius","Caryophyllaceae","sc"
"1448","Dianthus sylvestris","Caryophyllaceae","sc"
"1449","Diapensia lapponica","Diapensiaceae","si"
"1450","Dichanthelium clandestinum","Poaceae","sc"
"1451","Dichanthium queenslandicum","Poaceae","sc"
"1452","Dichelachne hirtella","Poaceae","sc"
"1453","Dichelachne inaequiglumis","Poaceae","sc"
"1454","Dichelachne micrantha","Poaceae","sc"
"1456","Dichelachne parva","Poaceae","sc"
"1457","Dichelachne rara","Poaceae","sc"
"1458","Dichelachne sieberiana","Poaceae","sc"
"1459","Dicliptera squarrosa","Acanthaceae","sc"
"1460","Dicorynia guianensis","Fabaceae","sc"
"1461","Dicymbe fraterna","Fabaceae","si"
"1462","Dillwynia hispida","Fabaceae","si"
"1463","Dillwynia tenuifolia","Fabaceae","sc"
"1464","Dillwynia uncinata","Fabaceae","si"
"1465","Dimorphandra macrostachya","Fabaceae","si"
"1466","Dimorphandra mollis","Fabaceae","si"
"1467","Dimorphotheca polyptera","Asteraceae","si"
"1468","Dimorphotheca sinuata","Asteraceae","si"
"1469","Dioclea guianensis","Fabaceae","si"
"1470","Diospyros lasiocalyx","Ebenaceae","na"
"1471","Diplotaxis assurgens","Brassicaceae","si"
"1472","Diplotaxis berthautii","Brassicaceae","si"
"1473","Diplotaxis catholica","Brassicaceae","si"
"1474","Diplotaxis erucoides","Brassicaceae","si"
"1475","Diplotaxis glauca","Brassicaceae","si"
"1476","Diplotaxis gorgadensis","Brassicaceae","si"
"1477","Diplotaxis gracilis","Brassicaceae","si"
"1478","Diplotaxis harra","Brassicaceae","si"
"1479","Diplotaxis muralis","Brassicaceae","sc"
"1480","Diplotaxis pitardiana","Brassicaceae","si"
"1481","Diplotaxis siettiana","Brassicaceae","si"
"1482","Diplotaxis siifolia","Brassicaceae","si"
"1483","Diplotaxis sundingii","Brassicaceae","si"
"1484","Diplotaxis tenuifolia","Brassicaceae","si"
"1485","Diplotaxis tenuisiliqua","Brassicaceae","si"
"1486","Diplotaxis viminea","Brassicaceae","sc"
"1487","Diplotaxis virgata","Brassicaceae","si"
"1488","Dipterocarpus tempehes","Dipterocarpaceae","si"
"1489","Dipteryx alata","Fabaceae","sc"
"1490","Diptychocarpus strictus","Brassicaceae","sc"
"1491","Discaria chacaye","Rhamnaceae","si"
"1492","Distemonanthus benthamianus","Fabaceae","si"
"1493","Diuris brumalis","Orchidaceae","sc"
"1494","Dolichandra cynanchoides","Bignoniaceae","si"
"1495","Dolichos junghuhnianus","Fabaceae","sc"
"1496","Draba aizoides","Brassicaceae","sc"
"1497","Draba alpina","Brassicaceae","sc"
"1498","Draba arctica","Brassicaceae","sc"
"1499","Draba cacuminum","Brassicaceae","sc"
"1500","Draba cinerea","Brassicaceae","sc"
"1501","Draba corymbosa","Brassicaceae","sc"
"1502","Draba crassifolia","Brassicaceae","sc"
"1503","Draba cuneifolia","Brassicaceae","sc"
"1504","Draba fladnizensis","Brassicaceae","sc"
"1505","Draba funiculosa","Brassicaceae","sc"
"1506","Draba glabella","Brassicaceae","sc"
"1507","Draba incana","Brassicaceae","sc"
"1508","Draba incerta","Brassicaceae","sc"
"1509","Draba lactea","Brassicaceae","sc"
"1510","Draba magellanica","Brassicaceae","sc"
"1511","Draba micropetala","Brassicaceae","sc"
"1512","Draba minima","Brassicaceae","sc"
"1513","Draba muralis","Brassicaceae","sc"
"1514","Draba nemorosa","Brassicaceae","sc"
"1515","Draba nivalis","Brassicaceae","sc"
"1516","Draba norvegica","Brassicaceae","sc"
"1517","Draba oxycarpa","Brassicaceae","sc"
"1519","Draba palanderiana","Brassicaceae","si"
"1520","Draba pauciflora","Brassicaceae","sc"
"1521","Draba pusilla","Brassicaceae","sc"
"1522","Draba subcapitata","Brassicaceae","sc"
"1523","Draba verna","Brassicaceae","sc"
"1524","Drosera cistiflora","Droseraceae","sc"
"1525","Dryas octopetala","Rosaceae","si"
"1529","Dryobalanops aromatica","Dipterocarpaceae","sc"
"1530","Dubautia kalalauensis","Asteraceae","si"
"1531","Dubautia linearis","Asteraceae","sc"
"1532","Dubautia menziesii","Asteraceae","si"
"1533","Dubautia plantaginea","Asteraceae","si"
"1534","Dunalia brachyacantha","Solanaceae","si"
"1535","Dyckia brevifolia","Bromeliaceae","sc"
"1536","Dysoxylum malabaricum","Meliaceae","si"
"1537","Dyssodia papposa","Asteraceae","sc"
"1538","Ebenus cretica","Fabaceae","sc"
"1539","Echeveria strictiflora","Crassulaceae","sc"
"1540","Echeveria subalpina","Crassulaceae","sc"
"1541","Echinacea angustifolia","Asteraceae","si"
"1542","Echinacea atrorubens","Asteraceae","si"
"1543","Echinacea laevigata","Asteraceae","si"
"1544","Echinacea pallida","Asteraceae","si"
"1546","Echinacea paradoxa","Asteraceae","si"
"1547","Echinacea purpurea","Asteraceae","si"
"1548","Echinacea sanguinea","Asteraceae","si"
"1549","Echinacea simulata","Asteraceae","si"
"1550","Echinacea tennesseensis","Asteraceae","si"
"1551","Echinochloa turneriana","Poaceae","sc"
"1552","Echium plantagineum","Boraginaceae","sc"
"1554","Echium simplex","Boraginaceae","sc"
"1555","Echium vulgare","Boraginaceae","sc"
"1558","Ectrosia anomala","Poaceae","sc"
"1559","Ectrosia blakei","Poaceae","sc"
"1560","Ectrosia confusa","Poaceae","sc"
"1561","Ectrosia danesii","Poaceae","sc"
"1562","Ectrosia gulliveri","Poaceae","sc"
"1563","Ectrosia nervilemma","Poaceae","sc"
"1564","Ectrosia scabrida","Poaceae","sc"
"1565","Egletes prostrata","Asteraceae","sc"
"1566","Elaeagnus umbellata","Elaeagnaceae","na"
"1567","Eleocharis acuta","Cyperaceae","na"
"1568","Eleocharis caespitosissima","Cyperaceae","sc"
"1569","Eleusine coracana","Poaceae","na"
"1570","Elionurus citreus","Poaceae","sc"
"1571","Elliottia racemosa","Ericaceae","si"
"1572","Elsholtzia rugulosa","Lamiaceae","sc"
"1573","Elymus hispidus","Poaceae","sc"
"1574","Elymus repens","Poaceae","na"
"1575","Embothrium coccineum","Proteaceae","na"
"1577","Emex australis","Polygonaceae","sc"
"1578","Emex spinosa","Polygonaceae","sc"
"1579","Emilia discifolia","Asteraceae","si"
"1580","Emilia fosbergii","Asteraceae","sc"
"1581","Enarthrocarpus arcuatus","Brassicaceae","si"
"1582","Encelia actoni","Asteraceae","si"
"1583","Encelia californica","Asteraceae","si"
"1584","Encelia canescens","Asteraceae","sc"
"1586","Encelia densifolia","Asteraceae","si"
"1588","Encelia farinosa","Asteraceae","si"
"1589","Encelia frutescens","Asteraceae","si"
"1590","Encelia halimifolia","Asteraceae","si"
"1591","Encelia hispida","Asteraceae","sc"
"1592","Encelia nutans","Asteraceae","si"
"1593","Encelia palmeri","Asteraceae","si"
"1594","Encelia resinifera","Asteraceae","si"
"1595","Encelia ventorum","Asteraceae","si"
"1596","Encelia virginensis","Asteraceae","si"
"1597","Enceliopsis argophylla","Asteraceae","si"
"1598","Enceliopsis covillei","Asteraceae","si"
"1599","Enceliopsis nudicaulis","Asteraceae","si"
"1600","Encholirium biflorum","Bromeliaceae","si"
"1601","Encholirium horridum","Bromeliaceae","si"
"1602","Encholirium pedicellatum","Bromeliaceae","si"
"1603","Encholirium subsecundum","Bromeliaceae","si"
"1604","Enneapogon asperatus","Poaceae","sc"
"1605","Enneapogon avenaceus","Poaceae","sc"
"1606","Enneapogon caerulescens","Poaceae","sc"
"1607","Enneapogon cylindricus","Poaceae","sc"
"1608","Enneapogon eremophilus","Poaceae","sc"
"1609","Entandrophragma cylindricum","Meliaceae","sc"
"1610","Enterolobium contortisiliquum","Fabaceae","si"
"1611","Enterolobium cyclocarpum","Fabaceae","na"
"1612","Enteropogon acicularis","Poaceae","sc"
"1613","Enteropogon dolichostachyus","Poaceae","sc"
"1614","Enteropogon minutus","Poaceae","sc"
"1615","Enteropogon paucispiceus","Poaceae","sc"
"1616","Enteropogon ramosus","Poaceae","sc"
"1617","Enteropogon unispiceus","Poaceae","sc"
"1618","Entolasia stricta","Poaceae","sc"
"1619","Entolasia whiteana","Poaceae","sc"
"1620","Eperua falcata","Fabaceae","si"
"1621","Epilobium alsinoides","Onagraceae","sc"
"1622","Epilobium anagallidifolium","Onagraceae","sc"
"1623","Epilobium angustum","Onagraceae","sc"
"1624","Epilobium billardiereanum","Onagraceae","sc"
"1625","Epilobium brachycarpum","Onagraceae","sc"
"1627","Epilobium brevipes","Onagraceae","sc"
"1628","Epilobium brunnescens","Onagraceae","sc"
"1629","Epilobium campestre","Onagraceae","sc"
"1630","Epilobium canum","Onagraceae","sc"
"1631","Epilobium chionanthum","Onagraceae","sc"
"1632","Epilobium chlorifolium","Onagraceae","sc"
"1633","Epilobium ciliatum","Onagraceae","sc"
"1634","Epilobium cleistogamum","Onagraceae","sc"
"1635","Epilobium coloratum","Onagraceae","sc"
"1636","Epilobium crassum","Onagraceae","sc"
"1637","Epilobium cylindricum","Onagraceae","sc"
"1638","Epilobium densiflorum","Onagraceae","sc"
"1639","Epilobium foliosum","Onagraceae","sc"
"1640","Epilobium glabellum","Onagraceae","sc"
"1642","Epilobium gracilipes","Onagraceae","sc"
"1643","Epilobium gunnianum","Onagraceae","sc"
"1644","Epilobium hirsutum","Onagraceae","sc"
"1645","Epilobium hirtigerum","Onagraceae","sc"
"1646","Epilobium insulare","Onagraceae","sc"
"1647","Epilobium komarovianum","Onagraceae","sc"
"1648","Epilobium lanceolatum","Onagraceae","sc"
"1649","Epilobium luteum","Onagraceae","sc"
"1650","Epilobium macropus","Onagraceae","sc"
"1651","Epilobium melanocaulon","Onagraceae","sc"
"1652","Epilobium microphyllum","Onagraceae","sc"
"1653","Epilobium minutum","Onagraceae","sc"
"1654","Epilobium montanum","Onagraceae","sc"
"1655","Epilobium nevadense","Onagraceae","sc"
"1656","Epilobium nummulariifolium","Onagraceae","sc"
"1657","Epilobium obcordatum","Onagraceae","si"
"1658","Epilobium obscurum","Onagraceae","sc"
"1659","Epilobium pallidiflorum","Onagraceae","sc"
"1660","Epilobium pallidum","Onagraceae","sc"
"1661","Epilobium palustre","Onagraceae","sc"
"1662","Epilobium parviflorum","Onagraceae","sc"
"1664","Epilobium pedunculare","Onagraceae","sc"
"1665","Epilobium pernitens","Onagraceae","sc"
"1666","Epilobium porphyrium","Onagraceae","sc"
"1667","Epilobium pubens","Onagraceae","sc"
"1668","Epilobium pycnostachyum","Onagraceae","sc"
"1669","Epilobium rigidum","Onagraceae","sc"
"1670","Epilobium roseum","Onagraceae","sc"
"1671","Epilobium rostratum","Onagraceae","sc"
"1672","Epilobium rotundifolium","Onagraceae","sc"
"1673","Epilobium septentrionale","Onagraceae","sc"
"1674","Epilobium subdentatum","Onagraceae","sc"
"1675","Epilobium suffruticosum","Onagraceae","sc"
"1676","Epilobium tasmanicum","Onagraceae","sc"
"1677","Epilobium tetragonum","Onagraceae","sc"
"1679","Epilobium torreyi","Onagraceae","sc"
"1680","Epilobium wilsonii","Onagraceae","sc"
"1681","Epimedium pubescens","Berberidaceae","si"
"1682","Epipactis albensis","Orchidaceae","sc"
"1683","Epipactis atrorubens","Orchidaceae","si"
"1684","Epipactis bugacensis","Orchidaceae","sc"
"1686","Epipactis dunensis","Orchidaceae","sc"
"1688","Epipactis exilis","Orchidaceae","sc"
"1689","Epipactis fageticola","Orchidaceae","si"
"1690","Epipactis greuteri","Orchidaceae","sc"
"1691","Epipactis helleborine","Orchidaceae","si"
"1698","Epipactis kleinii","Orchidaceae","si"
"1699","Epipactis leptochila","Orchidaceae","sc"
"1704","Epipactis lusitanica","Orchidaceae","si"
"1705","Epipactis microphylla","Orchidaceae","sc"
"1706","Epipactis muelleri","Orchidaceae","sc"
"1707","Epipactis nordeniorum","Orchidaceae","sc"
"1709","Epipactis palustris","Orchidaceae","na"
"1710","Epipactis persica","Orchidaceae","sc"
"1713","Epipactis phyllanthes","Orchidaceae","sc"
"1714","Epipactis pontica","Orchidaceae","sc"
"1715","Epipactis purpurata","Orchidaceae","si"
"1717","Epipactis tallosii","Orchidaceae","sc"
"1718","Epipactis tremolsii","Orchidaceae","si"
"1719","Epipactis veratrifolia","Orchidaceae","si"
"1720","Eragrostis alveiformis","Poaceae","sc"
"1721","Eragrostis basedowii","Poaceae","sc"
"1722","Eragrostis concinna","Poaceae","sc"
"1723","Eragrostis cumingii","Poaceae","sc"
"1724","Eragrostis elongata","Poaceae","sc"
"1725","Eragrostis fallax","Poaceae","sc"
"1726","Eragrostis hirticaulis","Poaceae","sc"
"1727","Eragrostis lacunaria","Poaceae","sc"
"1728","Eragrostis longipedicellata","Poaceae","sc"
"1729","Eragrostis microcarpa","Poaceae","sc"
"1730","Eragrostis parviflora","Poaceae","sc"
"1731","Eragrostis pubescens","Poaceae","sc"
"1732","Eragrostis sororia","Poaceae","sc"
"1733","Eragrostis stenostachya","Poaceae","sc"
"1734","Eragrostis subtilis","Poaceae","sc"
"1735","Eragrostis tenellula","Poaceae","sc"
"1736","Eragrostis triquetra","Poaceae","sc"
"1737","Eremosparton songoricum","Fabaceae","sc"
"1738","Eremothera boothii","Onagraceae","si"
"1739","Eremothera minor","Onagraceae","sc"
"1740","Eremothera nevadensis","Onagraceae","si"
"1741","Eremothera refracta","Onagraceae","si"
"1742","Eremurus altaicus","Asphodelaceae","sc"
"1743","Eriachne armitii","Poaceae","sc"
"1744","Eriachne axillaris","Poaceae","sc"
"1745","Eriachne basalis","Poaceae","sc"
"1746","Eriachne insularis","Poaceae","sc"
"1747","Eriachne pallescens","Poaceae","sc"
"1748","Eriachne stipacea","Poaceae","sc"
"1749","Eriachne triseta","Poaceae","sc"
"1750","Erica aristata","Ericaceae","si"
"1751","Erica brachialis","Ericaceae","si"
"1752","Erica corifolia","Ericaceae","si"
"1753","Erica hirtiflora","Ericaceae","si"
"1754","Erica imbricata","Ericaceae","si"
"1755","Erica nevillei","Ericaceae","si"
"1756","Erica plukenetii","Ericaceae","si"
"1758","Erica pulchella","Ericaceae","si"
"1759","Erica subdivaricata","Ericaceae","si"
"1760","Erica urna-viridis","Ericaceae","si"
"1761","Erigeron bonariensis","Asteraceae","sc"
"1763","Erigeron canadensis","Asteraceae","sc"
"1765","Erigeron divaricatus","Asteraceae","sc"
"1766","Erigeron glabellus","Asteraceae","si"
"1767","Erigeron kachinensis","Asteraceae","si"
"1768","Erigeron lemmonii","Asteraceae","si"
"1769","Erigeron leptopetalus","Asteraceae","si"
"1770","Erigeron strigosus","Asteraceae","sc"
"1771","Erigeron sumatrensis","Asteraceae","sc"
"1772","Eriobotrya japonica","Rosaceae","sc"
"1773","Eriocaulon heleocharioides","Eriocaulaceae","sc"
"1774","Eriolarynx lorentzii","Solanaceae","si"
"1775","Eriophyllum ambiguum","Asteraceae","si"
"1776","Eriophyllum congdonii","Asteraceae","sc"
"1777","Eriophyllum multicaule","Asteraceae","si"
"1778","Eriophyllum nubigenum","Asteraceae","sc"
"1779","Eriophyllum pringlei","Asteraceae","si"
"1780","Eriophyllum wallacei","Asteraceae","si"
"1781","Eriosema benthamianum","Fabaceae","sc"
"1782","Eriosema diffusum","Fabaceae","sc"
"1783","Eriosema irwinii","Fabaceae","sc"
"1784","Eriosema parviflorum","Fabaceae","sc"
"1785","Eriosema rufum","Fabaceae","na"
"1786","Eriosema simplicifolium","Fabaceae","sc"
"1787","Eriosyce chilensis","Cactaceae","si"
"1789","Eriosyce subgibbosa","Cactaceae","sc"
"1790","Eruca vesicaria","Brassicaceae","si"
"1792","Erucaria hispanica","Brassicaceae","si"
"1794","Erucaria pinnata","Brassicaceae","sc"
"1796","Erucaria rostrata","Brassicaceae","si"
"1797","Erucastrum abyssinicum","Brassicaceae","sc"
"1798","Erucastrum cardaminoides","Brassicaceae","si"
"1800","Erucastrum gallicum","Brassicaceae","sc"
"1801","Erucastrum leucanthum","Brassicaceae","si"
"1802","Erucastrum nasturtiifolium","Brassicaceae","si"
"1803","Erucastrum varium","Brassicaceae","si"
"1804","Erucastrum virgatum","Brassicaceae","si"
"1805","Erycina glossomystax","Orchidaceae","sc"
"1806","Eryngium alpinum","Apiaceae","si"
"1807","Eryngium maritimum","Apiaceae","sc"
"1808","Eryngium paniculatum","Apiaceae","sc"
"1809","Erysimum asperum","Brassicaceae","si"
"1810","Erysimum baeticum","Brassicaceae","sc"
"1811","Erysimum capitatum","Brassicaceae","si"
"1812","Erysimum cheiranthoides","Brassicaceae","sc"
"1813","Erysimum cheiri","Brassicaceae","si"
"1814","Erysimum concinnum","Brassicaceae","si"
"1815","Erysimum incanum","Brassicaceae","sc"
"1816","Erysimum inconspicuum","Brassicaceae","sc"
"1817","Erysimum insulare","Brassicaceae","si"
"1818","Erysimum linifolium","Brassicaceae","si"
"1820","Erysimum menziesii","Brassicaceae","sc"
"1821","Erysimum occidentale","Brassicaceae","si"
