source_row_number,Reference,PubYear,Family,Genus,species,Genus species,Monocot/Dicot/Gymno,"Lform(0=ann,1=Hper,2=Wper)","Pollination(0=anim,1=wind,2=water)",MarkerType,nMarkers,"PopType (0=natural, 1= experimental, 2=seed orchard, 3=agricultural)",nPops(t),Mean-tm,Mean ts,Upper-tm,Where-t,nPops(F),Mech of selfing,Use for t & F?,Mean-F,Lower-F,Upper-F,Where-F,Reference.1
85,Inoue et al. 1996,1996,Campanulaceae,Campanula,punctata,Campanula punctata,D,1,0,I,~5,0,6,0.487,0.087,0.931,Table 14.2,,,0,,,,,"Inoue, K., M. Maki, and M. Masuda. 1996. Evolution of Campanula flowers in relation to insect pollination on islands. Pp. 377–400 in D. G. Lloyd and S. C. H. Barrett, eds. Floral biology. Studies on floral evolution in animal-pollinated plants. Champman & Hall, New York, NY, U.S.A."
86,Collevatti et al. 2001,2001,Caryocaraceae,Caryocar,brasiliense,Caryocar brasiliense,D,2,0,U,10,0,4,1,1,1,Results,4,,1,0.06505,0.0189,0.103,Table 1,"Collevatti, R. G., D. Grattapaglia, and J. D. Hay. 2001. High resolution microsatellite based analysis of the mating system allows the detection of significant biparental inbreeding in Caryocar brasiliense, an endangered tropical tree species. Heredity 86:60-67."
87,Cole 1988,1988,Caryophyllaceae,Silene,cucubalis,Silene  cucubalis,D,1,0,I,,0,1,0.8625,,,??,,,0,,,,,"Cole, W.W. 1988. Unpublished MSc. Thesis"
88,Collin & Shykoff 2003,2003,Caryophyllaceae,Dianthus,sylvestris,Dianthus sylvestris,D,1,0,I,5,0,1,0.885,,,Results,,,0,,,,,"Collin, C. L., and J. A. Shykoff. 2003. Outcrossing rates in the gynomonoecious-gynodioecious species Dianthus sylvestris (Caryophyllaceae). American Journal of Botany 90:579-585."
89,Culley et al. 1999,1999,Caryophyllaceae,Schiedea,membranacea,Schiedea membranacea,D,1,0,I,3,0,1,0.829,0.749,0.925,Table 3,,,0,,,,,"Culley, T. M., S. G. Weller, A. K. Sakai, and A. E. Rankin. 1999. Inbreeding depression and selfing rates in a self-compatible, hermaphroditic species, Schiedea membranacea (Caryophyllaceae). American Journal of Botany 86:980-987."
90,Dudash & Fenster,2001,Caryophyllaceae,Silene,virginica,Silene  virginica,D,1,0,I,,0,1,0.89,,,Results,1,,1,0.06999999999999999,-0.22,0.19,Results (outcrossing rate),"Dudash MR, CB Fenster. 2001. The role of breeding system and inbreeding depression in the maintenance of an outcrossing mating strategy in Silene virginica (Caryophyllaceae). Am J Bot 88(11):1953-1959"
91,in Norman et al. 1997,1997,Caryophyllaceae,Schiedea,salicaria,Schiedea salicaria,D,1,1,I,?,0,1,0.613,,,Discussion of Norman et al. 1997,,,0,,,,,"Norman, J. K., S. G. Weller, and A. K. Sakai. 1997. Pollination biology and outcrossing rates in hermaphroditic Schiedea lydgatei (Caryophyllaceae). American Journal of Botany 84:641–648."
92,in Rankin et al. 2002,2002,Caryophyllaceae,Alsinidendron,viscosum,Alsinidendron viscosum,D,1,0,I,?,0,1,0,,,,,,0,,,,,"Rankin, A. E., S. G. Weller, and A. K. Sakai. 2002. Mating system instability in Schiedea menziesii (Caryophyllaceae). Evolution 56:1574-1585."
93,Norman et al. 1997,1997,Caryophyllaceae,Schiedea,lydgatei,Schiedea lydgatei,D,1,0,I,4,0,2,0.781,0.694,0.875,Table 3,,,0,,,,,"Norman, J. K., S. G. Weller, and A. K. Sakai. 1997. Pollination biology and outcrossing rates in hermaphroditic Schiedea lydgatei (Caryophyllaceae). American Journal of Botany 84:641–648."
94,Purdy et al.,1994,Caryophyllaceae,Stellaria,arenicola,Stellaria arenicola,D,1,0,I,,0,1,0.667,,,Table 4,,,0,,,,,"Purdy BG, Bayer RJ, SE MacDonald. 1994. Genetic variation, breeding system evolution, and conservation of the narrow sand dune endemic Stellaria arenicola and the widespread S. longipes (Caryphyllaceae). Am. J. Bot. 81: 904-911"
95,Purdy et al.,1994,Caryophyllaceae,Stellaria,longpipes,Stellaria longpipes,D,1,0,I,,0,1,0.802,,,Table 4,,,0,,,,,"Purdy BG, Bayer RJ, SE MacDonald. 1994. Genetic variation, breeding system evolution, and conservation of the narrow sand dune endemic Stellaria arenicola and the widespread S. longipes (Caryphyllaceae). Am. J. Bot. 81: 904-911"
96,Rankin et al. 2002,2002,Caryophyllaceae,Schiedea,menziesii,Schiedea menziesii,D,1,0,I,3,0,1,0.393,0.296,0.575,Table 1,1,,1,-0.141,-0.234,-0.036,Table 1,"Rankin, A. E., S. G. Weller, and A. K. Sakai. 2002. Mating system instability in Schiedea menziesii (Caryophyllaceae). Evolution 56:1574-1585."
97,Sakai et al. 1997,1997,Caryophyllaceae,Schiedea,adamantis,Schiedea adamantis,D,1,1,I,1,0,1,0.54893,,,Results - Mating System,1,,1,-0.178,,,Results - Mating System,"Sakai, A. K., S. G. Weller, M. L. Chen, S. Y. Chou, and C. Tasanont. 1997. Evolution of gynodioecy and maintenance of females: The role of inbreeding depression, outcrossing rates, and resource allocation in Schiedea adamantis (Caryophyllaceae). Evolution 51:724-736."
98,Sterk & Dijkhuizen 1972,1972,Caryophyllaceae,Spergularia,marina,Spergularia  marina,D,0,0,M,,0,1,0.015,,,??,,,0,,,,,Sterk and Dijkhuizen 1972 ????
99,Sterk & Dijkhuizen 1972,1972,Caryophyllaceae,Spergularia,media,Spergularia  media,D,0,0,M,,0,1,0.12,,,??,,,0,,,,,Sterk and Dijkhuizen 1972 ????
100,Degen et al. 2004,2004,Clusiaceae,Symphonia,globulifera,Symphonia globulifera,D,2,0,U,3,0,1,0.92,,,Results,1,,1,0.16,,,Table 1,"Degen, B., E. Bandou, and H. Caron. 2004. Limited pollen dispersal and biparental inbreeding in Symphonia globulifera in French Guiana. Heredity 93:585-591."
101,Ennos 1981,1981,Convolvulaceae,Ipomoea,hederacea,Ipomoea  hederacea,D,0,0,I,,0,1,0.0695,.,,Table 1b,,,0,,,,,Ennos RA. 1981. Quantitative studies of the mating system in two sympatric species of Ipomoea (Convolvulaceae). Genetica 57:93-98
102,Ennos 1981,1981,Convolvulaceae,Ipomoea,purpurea,Ipomoea  purpurea,D,0,0,I,,0,1,0.699,.,,Table 1b,,,0,,,,,Ennos RA. 1981. Quantitative studies of the mating system in two sympatric species of Ipomoea (Convolvulaceae). Genetica 57:93-98
103,Kohn & Biardi 1994,1994,Cucurbitaceae,Cucurbita,foetidissma,Cucurbita  foetidissma,D,1,0,I,4,0,2,0.498,0.451,0.546,Table 1,2,,1,-0.0645,-0.114,-0.015,Table 1,"Kohn, J. R., and J. E. Biardi. 1995. Outcrossing rates and inferred levels of inbreeding depression in gynodioecious Cucurbita foetidissima (Cucurbitaceae). Heredity 75:77-83."
104,El-Kassaby et al.,1994,Cupressaceae,Thuja,plicata,Thuja  plicata,G,2,1,I,,1,1,0.32,0.001,1.23,Table 1 & Results,,,0,,,,,"El-Kassaby Y, Russell JH, K Ritland. 1994. Mixed mating in an experimental population of western red cedar, Thuja plicata. J Hered 85:227-231"
105,"Ennos 1981, Kohn & Biardi 1994, El-Kassaby et al.","1981, 1994, 1994",Cupressaceae,Thuja,plicata,Thuja  plicata,G,2,1,I&U,,0&1,11,0.5037499999999999,0.001,1.203,"Table 1b, Table 1, Table 1 & Results",4,,0,,,,,Species summary
106,Lamy et al.,1999,Cupressaceae,Thuja,occidentalis,Thuja  occidentalis,G,2,1,I,3,0,2,0.288,0.24,0.335,Table 5 (range for multi-locus estimate),2,,1,0.12,0.051,0.19,Results,"Lamy S, Bouchard A, J-P Simon. 1999. Genetic structure, variability, and mating system in eastern white cedar (Thuja occidentalis) populations of recent origin in an agricultural landscape in southern Quebec. Can J For Res 29:1383-1392"
107,"Ennos 1981, Kohn & Biardi 1994, El-Kassaby et al., Lamy et al.","1981, 1994, 1994 & 1999",Cupressaceae,Thuja,occidentalis,Thuja  occidentalis,G,2,1,I,,0,6,0.4705576923076922,0.24,0.63,"Table 1b, Table 1, Table 1 & Results, Table 5 (range for multi-locus estimate)",2,,0,,,,,Species summary
108,O'Connell et al. 2001,2001,Cupressaceae,Thuja,plicata,Thuja  plicata,G,2,1,I,1,0,6,0.715,0.173,1.257,Table 1,,,0,,,,,"O'Connell L, Viard F, K Ritland. 2001. The mating system in natural populations of western red cedar (Thuja plicata). Can. J. Bot. 79:753-756."
109,O'connell et al. 2004,2004,Cupressaceae,Thuja,plicata,Thuja  plicata,G,2,1,U,4,0,4,0.731,0.662,0.778,Table 5,4,,1,0.055,0.013,0.109,Table 3,"O'Connell, L. M., J. Russell, and K. Ritland. 2004. Fine-scale estimation of outcrossing in western redcedar with microsatellite assay of bulked DNA. Heredity 93:443-449."
110,Seido et al. 2000,2000,Cupressaceae,Chamaecyparis,obtusa,Chamaecyparis obtusa,G,2,1,U,,2,1,0.977,,,??,,,0,,,,,"Seido K, Maeda H, S Shiraishi. 2000. Determination of the selfing rate in a hinoki (Chamaecyparis obtusa) seed orchard by using a chloroplast PCR-SSCP marker. Silvae Genet. 49:165–168."
111,Xie et al. 1991,1991,Cupressaceae,Thuja,occidentalis,Thuja  occidentalis,G,2,1,I,,0,4,0.63,,,Abstract,,,0,,,,,"Xie CY, Dancik BP, FC Yeh. 1991. The mating system in natural populations of Thuja orientalis. Can J For Res 21:333-339."
112,Xie et al. 1991,1991,Cupressaceae,Thuja,orientalis,Thuja  orientalis,G,2,1,I,7,0,4,0.75,,,Abstract,,,0,,,,,"Xie CY, Dancik BP, FC Yeh. 1991. The mating system in natural populations of Thuja orientalis. Can J For Res 21:333-339."
113,Fritsch & Rieseberg 1992,1992,Datiscaceae,Datisca,glomerata,Datisca  glomerata,D,1,1,R,,0,2,0.785,0.65,0.92,??,,,0,,,,,"Fritsch, P., and L. H. Rieseberg. 1992. High outcrossing rates maintain male and hermaphrodite individuals in populations of the flowering plant Datisca glomerata. Nature 359:633–636."
114,Kenta et al. 2004,2004,Dipterocarpaceae,Dipterocarpus,tempehes,Dipterocarpus tempehes,D,2,0,U,6,0,1,0.945,0.93,0.96,Table 3,1,,1,0.0891,,,Table 1 - calc from Ho and He,"Kenta, T., Y. Isagi, M. Nakagawa, M. Yamashita, and T. Nakashizuka. 2004. Variation in pollen dispersal between years with different pollination conditions in a tropical emergent tree. Molecular Ecology 13:3575-3584."
115,Kitamura et al. 1994,1994,Dipterocarpaceae,Dryobalanops,aromatica,Dryobalanops  aromatica,D,2,0,I,,0,1,0.816,,,??,,,0,,,,,"Kitamura K, Abdul Rahman MY, Ochiai Y, H Yoshimaru. 1994. Estimation of the outcrossing rate on Dryobalanops aromatica Gaertn. f. in primary and secondary forest in Brunei, Borneo, southeast Asia. Plant Species Biol. 9:37–41."
116,Lee 2000,2000,Dipterocarpaceae,Dryobalanops,aromatica,Dryobalanops  aromatica,D,2,0,I &M,5,0,2,0.844,0.766,0.923,Table 1,,,0,,,,,"Lee, S. L. 2000. Mating system parameters of Dryobalanops aromatica Gaertn. f. (Dipterocarpaceae) in three different forest types and a seed orchard. Heredity 85:338-345."
117,"Kitamura et al. 1994, Lee 2000","1994, 2000",Dipterocarpaceae,Dryobalanops,aromatica,Dryobalanops  aromatica,D,2,0,I,,0,3,0.8346666666666667,0.766,0.923,"??, Table 1",,,0,,,,,Species summary
118,Murawski & Bawa 1994,1994,Dipterocarpaceae,Stemonoporus,oblongifolius,Stemonoporus  oblongifolius,D,2,0,I,5,0,1,0.844,,,Table 6 & Results,1,,1,0.0953,,,Table 2,"Murawski D.A., K.S. Bawa. 1994. Genetic structure and mating system on Stemonoporus oblongifolius (Dipterocarapaceae) in Sri Lanka. Amer. J. Bot. 81:155-160."
119,Murawski et al.,1994,Dipterocarpaceae,Shorea,congestiflora,Shorea congestiflora,D,2,0,I,4,0,1,0.874,,,Table 3,1,,1,0.088,,,Results,"Murawski DA, Dayanandan B, KS Bawa. 1994. Outcrossing rates of two endemic Shorea species from Sri Lankan tropical rain forests. Biotropica 26(1): 23-29"
120,Murawski et al.,1994,Dipterocarpaceae,Shorea,trapezifolia,Shorea trapezifolia,D,2,0,I,4,0,1,0.581,0.544,0.617,Table 3 (range for multilocus estimate),1,,1,-0.18,-0.3,-0.06,Results,"Murawski DA, Dayanandan B, KS Bawa. 1994. Outcrossing rates of two endemic Shorea species from Sri Lankan tropical rain forests. Biotropica 26(1): 23-29"
121,Nagamitsu et al. 2001,2001,Dipterocarpaceae,Shorea,leprosula,Shorea leprosula,D,2,0,U,3,0,1,0.91,,,Table 2 - mature fruit estimate,,,0,,,,,"Nagamitsu, T., S. Ichikawa, M. Ozawa, R. Shimamura, N. Kachi, Y. Tsumura, and N. Muhammad. 2001. Microsatellite analysis of the breeding system and seed dispersal in Shorea leprosula (Dipterocarpaceae). International Journal of Plant Sciences 162:155-159."
122,Obayashi et al. 2002,2002,Dipterocarpaceae,Shorea,curtisii,Shorea curtisii,D,2,0,U,3,0,2,0.7425,0.522,0.963,Table 3,2,,1,0.09,0.041,0.139,Table 1,"Obayashi, K., Y. Tsumura, T. Ihara-Ujino, K. Niiyama, H. Tanouchi, Y. Suyama, I. Washitani, C. T. Lee, S. L. Lee, and N. Muhammad. 2002. Genetic diversity and outcrossing rate between undisturbed and selectively logged forests of Shorea curtisii (Dipterocarpaceae) using microsatellite DNA analysis. International Journal of Plant Sciences 163:151-158."
123,Levri 2000,2000,Ericaeae,Kalmia,latifolia,Kalmia latifolia,D,2,0,I,3,0,2,0.967,0.89,1,Table 3,,,0,,,,,"Levri, M. A. 2000. A measure of the various modes of inbreeding in Kalmia latifolia. Annals of Botany 86:415–420."
124,Mahy & Jacquemart 1998,1998,Ericaeae,Calluna,vulgaris,Calluna vulgaris,D,2,0,I,4,0,3,0.78,0.71,0.9,Table 3,,,0,,,,,"Mahy, G., and A. L. Jacquemart. 1998. Mating system of Calluna vulgaris: self-sterility and outcrossing estimations. Canadian Journal of Botany 76:37-42."
125,daSilva et al. 2003,2003,Euphorbiaceae,Manihot,esculenta,Manihot esculenta,D,1,0,I,8,1,1,0.915,,,Table 1,,,0,,,,,"da Silva, R. M., G. Bandel, and P. S. Martins. 2003. Mating system in an experimental garden composed of cassava (Manihot esculenta Crantz) ethnovarieties. Euphytica 134:127-135."
126,Paiva et al. 1994,1994,Euphorbiaceae,Hevea,brasiliensis,Hevea brasiliensis,D,2,0,I,4,0,2,0.64,,,??,,,0,,,,,"Paiva, J. R., P. Y. Kageyama, and R. Vencovsky. 1994. Genetics of rubber tree (Hevea brasiliensis (Willd. ex Adr. de Juss.) Müll. Arg.) 2. Mating system. Silvae Genetica 43:373-376."
127,Bessega et al. 2000,2000,Fabaceae,Prosopis,alba,Prosopis alba,D,2,0,I,4,0,1,0.718,,,Table 6,1,0,1,0.008,,,Table 5,"Bessega, C., L. Ferreyra, N. Julio, S. Montoya, B. Saidman, and J. C. Vilardi. 2000. Mating system parameters in species of genus Prosopis (Leguminosae). Hereditas 132:19-27."
128,Bessega et al. 2000,2000,Fabaceae,Prosopis,chilensis,Prosopis chilensis,D,2,0,I,5,0,1,0.809,,,Table 6,1,0,1,0.225,,,Table 5,"Bessega, C., L. Ferreyra, N. Julio, S. Montoya, B. Saidman, and J. C. Vilardi. 2000. Mating system parameters in species of genus Prosopis (Leguminosae). Hereditas 132:19-27."
129,Bessega et al. 2000,2000,Fabaceae,Prosopis,flexuosa,Prosopis flexuosa,D,2,0,I,9,0,1,0.882,,,Table 6,1,0,1,0,,,Table 5,"Bessega, C., L. Ferreyra, N. Julio, S. Montoya, B. Saidman, and J. C. Vilardi. 2000. Mating system parameters in species of genus Prosopis (Leguminosae). Hereditas 132:19-27."
130,Bessega et al. 2000,2000,Fabaceae,Prosopis,glandulosa,Prosopis glandulosa,D,2,0,I,9,0,1,0.976,,,Table 6,1,0,1,0.022,,,Table 5,"Bessega, C., L. Ferreyra, N. Julio, S. Montoya, B. Saidman, and J. C. Vilardi. 2000. Mating system parameters in species of genus Prosopis (Leguminosae). Hereditas 132:19-27."
131,Bessega et al. 2000,2000,Fabaceae,Prosopis,nigra,Prosopis nigra,D,2,0,I,4,0,1,1,,,Table 6,1,0,1,0,,,Table 5,"Bessega, C., L. Ferreyra, N. Julio, S. Montoya, B. Saidman, and J. C. Vilardi. 2000. Mating system parameters in species of genus Prosopis (Leguminosae). Hereditas 132:19-27."
132,Bessega et al. 2000,2000,Fabaceae,Prosopis,ruscifolia,Prosopis ruscifolia,D,2,0,I,4,0,1,0.782,,,Table 6,1,0,1,0.022,,,Table 5,"Bessega, C., L. Ferreyra, N. Julio, S. Montoya, B. Saidman, and J. C. Vilardi. 2000. Mating system parameters in species of genus Prosopis (Leguminosae). Hereditas 132:19-27."
133,Bessega et al. 2000,2000,Fabaceae,Prosopis,velutina,Prosopis velutina,D,2,0,I,9,0,1,0.741,,,Table 6,1,0,0,0.098,,,Table 5,"Bessega, C., L. Ferreyra, N. Julio, S. Montoya, B. Saidman, and J. C. Vilardi. 2000. Mating system parameters in species of genus Prosopis (Leguminosae). Hereditas 132:19-27."
134,"Bessega et al. 2000, Bessega et al. 2000","2000, 2000",Fabaceae,Prosopis,velutina,Prosopis velutina,D,2,0,I,8.5,0,4,0.7615000000000001,0.609,1.004,"Table 6, Table 6",4,0,1,0.06,-0.3,0.098,"Table 5, Table 5, Table 5",Species summary
135,Brown et al. 1986,1986,Fabaceae,Glycine,argyrea,Glycine  argyrea,D,1,0,I,10,0,1,0.38,,,Table 2,1,cleis,0,0.16,,,Results,"Brown, A. H. D., J. E. Grant, and R. Pullen. 1986. Outcrossing and paternity in Glycine argyrea by paired fruit analysis. Biological Journal of the Linnean Society 29:283-294."
136,"Bessega et al. 2000, Bessega et al. 2000, Brown et al. 1986","2000, 2000, 1986",Fabaceae,Glycine,argyrea,Glycine  argyrea,D,1,0,I,7.5,0,2,0.6852,0.38,0.47,"Table 6, Table 6, Table 2",2,,1,0.08,,,"Table 5, Table 5, Table 5, Results",Species summary
137,Casiva et al. 2004,2004,Fabaceae,Acacia,aroma,Acacia aroma,D,2,0,I,5,0,3,0.969,0.914,1,Table 7,3,none,1,-0.197,-0.329,0,Table 7,"Casiva, P. V., J. C. Vilardiu, A. M. Cialdella, and B. O. Saidman. 2004. Mating system and population structure of Acacia aroma and A. macracantha (Fabaceae). American Journal of Botany 91:58-64."
138,Casiva et al. 2004,2004,Fabaceae,Acacia,macracantha,Acacia macracantha,D,2,0,I,5,0,2,0.988,0.977,1,Table 7,2,none,1,0.0015,0,0.003,Table 7,"Casiva, P. V., J. C. Vilardiu, A. M. Cialdella, and B. O. Saidman. 2004. Mating system and population structure of Acacia aroma and A. macracantha (Fabaceae). American Journal of Botany 91:58-64."
139,Escalante et al. 1994,1994,Fabaceae,Phaseolus,coccineus coccineus,Phaseolus  coccineus coccineus,D,1,0,I,7,3,2,0.645,0.592,0.698,Table 5,2,,1,0.24665873864202503,0.138,0.355,Table 5 - back-calculated from equilibrium t,"Escalante, A. M., G. Coello, L. E. Eguiarte, and D. Pinero. 1994. Genetic tructure and mating systems in wild and cultivated populations of Phaseolus coccineus and Phaseolus vulgaris (Fabaceae). American Journal of Botany 81:1096-1103."
140,Escalante et al. 1994,1994,Fabaceae,Phaseolus,coccineus formosus,Phaseolus  coccineus formosus,D,1,0,I,7,0,2,0.6775,0.662,0.693,Table 5,2,,1,0.22881084160526388,0.2,0.258,Table 5 - back-calculated from equilibrium t,"Escalante, A. M., G. Coello, L. E. Eguiarte, and D. Pinero. 1994. Genetic tructure and mating systems in wild and cultivated populations of Phaseolus coccineus and Phaseolus vulgaris (Fabaceae). American Journal of Botany 81:1096-1103."
141,Fenster 1995,1995,Fabaceae,Chamaecrista,fasiculata,Chamaecrista  fasiculata,D,0,0,I,,1,2,0.665,0.64,0.69,Results (outcrossing rate),,,0,,,,,Fenster C.B. 1995. Mirror image flowers and mating system in Chamaecrista fasciculata (Leguminosae). Amer. J. Bot. 82:46-50.
142,Gasim et al. 2004,2004,Fabaceae,Vicia,faba,Vicia  faba,D,0,0,M,1,3,8,0.542,0.445,0.66,Table 2,,,0,,,,,"Gasim, S., S. Abel, and W. Link. 2004. Extent, variation and breeding impact of natural cross-fertilization in German winter faba beans using hilum colour as marker. Euphytica 136:193-200."
143,Godt & Hamrick,1991,Fabaceae,Lathyrus,latifolius,Lathyrus latifolius,D,1,0,I,9,0,7,0.807,0.702,0.87,Table 1,7,,1,-0.074,-0.187,0.12,Table 2,"Godt MJW, JL Hamrick. 1991. Estimates of outcrossing rates in Lathyrus latifolius populations. Genome 34:988-992"
144,Harding & Barnes,1977,Fabaceae,Lupinus,succulentus,Lupinus  succulentus,D,0,0,F,1,0,29,0.439,0.138,0.903,Table 1,,,0,,,,,"Harding, J., and K. Barnes. 1977. Genetics of Lupinus. X. Genetic variability, heterozygosity and outcrossing in colonial populations of Lupinus succulentus. Evolution 31:247-255."
145,Harding 1970,1970,Fabaceae,Lupinus,nanus apricus,Lupinus  nanus apricus,D,0,0,F,1,0,4,0.294,0.0451,0.4951,Table 2,,,0,,,,,"Harding, J. 1970. Genetics of Lupinus. II. The selctive disadvantage of the pink flower color mutant in Lupinus nanus. Evolution 24:120-127."
146,"Godt & Hamrick, Harding & Barnes, Harding 1970","1991, 1977, 1970",Fabaceae,Lupinus,nanus apricus,Lupinus  nanus apricus,D,0,0,F&I,1.333,0,16,0.48889999999999995,0.045,0.9,"Table 1, Table 1, Table 2",,,0,,,,,Species summary
147,Harding et al. 1974,1974,Fabaceae,Lupinus,affinis,Lupinus affinis,D,0,0,F,1,0,1,0.4,0.3,0.5,Table 3,,,0,,,,,"Harding J, Mankinen CB, M Elliott. 1974. Genetics of Lupinus. VII. Outcrossing, autofertility, and variability in natural populations of the nanus group. Taxon 23:729-738"
148,Harding et al. 1974,1974,Fabaceae,Lupinus,bicolor,Lupinus  bicolor,D,0,0,F,1,0,4,0.0675,0,0.16,Table 3,,,0,,,,,"Harding, J., C. B. Mankinen, and M. Elliot. 1974. Genetics of Lupinus. VII. Outcrossing autofertility, and variability in natural populations of the Nanus group. Taxon 23:729-738."
149,Harding et al. 1974,1974,Fabaceae,Lupinus,nanus apricus,Lupinus  nanus apricus,D,0,0,F,1,0,10,0.4915,0.05,0.9,Table 1,,,0,,,,,"Harding, J., C. B. Mankinen, and M. Elliot. 1974. Genetics of Lupinus. VII. Outcrossing autofertility, and variability in natural populations of the Nanus group. Taxon 23:729-738."
150,Harding et al. 1974,1974,Fabaceae,Lupinus,nanus latifolius,Lupinus  nanus latifolius,D,0,0,F,1,0,3,0.657,0.33,0.94,Table 2,,,0,,,,,"Harding, J., C. B. Mankinen, and M. Elliot. 1974. Genetics of Lupinus. VII. Outcrossing autofertility, and variability in natural populations of the Nanus group. Taxon 23:729-738."
151,Harding et al. 1974,1974,Fabaceae,Lupinus,nanus Menkerae,Lupinus  nanus Menkerae,D,0,0,F,1,0,5,0.374,0.06,0.66,Table 2,,,0,,,,,"Harding, J., C. B. Mankinen, and M. Elliot. 1974. Genetics of Lupinus. VII. Outcrossing autofertility, and variability in natural populations of the Nanus group. Taxon 23:729-738."
152,Harding et al. 1974,1974,Fabaceae,Lupinus,nanus vallicola,Lupinus  nanus vallicola,D,0,0,F,1,0,2,0.45,0.24,0.66,Table 2,,,0,,,,,"Harding, J., C. B. Mankinen, and M. Elliot. 1974. Genetics of Lupinus. VII. Outcrossing autofertility, and variability in natural populations of the Nanus group. Taxon 23:729-738."
153,Harding et al. 1974,1974,Fabaceae,Lupinus,pachylobus,Lupinus  pachylobus,D,0,0,F,1,0,1,0,,,Table 3,,,0,,,,,"Harding, J., C. B. Mankinen, and M. Elliot. 1974. Genetics of Lupinus. VII. Outcrossing autofertility, and variability in natural populations of the Nanus group. Taxon 23:729-738."
154,Harding et al. 1974,1974,Fabaceae,Lupinus,polycarpus,Lupinus  polycarpus,D,0,0,F,1,0,1,0.01,,,Table 3,,,0,,,,,"Harding, J., C. B. Mankinen, and M. Elliot. 1974. Genetics of Lupinus. VII. Outcrossing autofertility, and variability in natural populations of the Nanus group. Taxon 23:729-738."
155,Horovitz & Harding 1972,1972,Fabaceae,Lupinus,nanus nanus,Lupinus nanus nanus,D,0,0,F,1,1,2,0.2505,0.055,0.446,Table 6,,,0,,,,,"Horovitz, A., and J. Harding. 1972. Genetics of Lupinus. V. Intraspecific variability for reproductive traits in Lupinus nanus. Botanical Gazette 133:155-165."
156,Horovitz & Harding 1983,1983,Fabaceae,Lupinus,pilosus,Lupinus  pilosus,D,0,0,M,1,0,1,0.3,,,Table 2,,,0,,,,,"Horovitz, A., and J. Harding. 1983. Genetics of Lupinus XII. The mating system of Lupinus pilosus. Botanical Gazette 144:276-279."
157,Hufford & Hamrick 2003,2003,Fabaceae,Platypodium,elegans,Platypodium  elegans,D,2,0,U,4,0,1,0.78,,,Table 1 - t for mature seeds,1,,1,0.0137,,,Table 1 - Fis value for adults,"Hufford, K. M., and J. L. Hamrick. 2003. Viability selection at three early life stages of the tropical tree, Platypodium elegans (Fabaceae, Papilionoideae). Evolution 57:518-526."
158,Jain & Martins 1979,1979,Fabaceae,Trifolium,hirtum,Trifolium  hirtum,D,0,0,M,3,0,21,0.0462,0.01,0.1,Table 1,,,0,,,,,"Jain S, P Martins. 1979. Ecological genetics of the colonizing ability of rose clover (Trifolium hirtum All.). Am. J. Bot. 66:361–366"
159,"Hufford & Hamrick 2003, Jain & Martins 1979","2003, 1979",Fabaceae,Trifolium,hirtum,Trifolium  hirtum,D,0,0,M&I,,0,24,0.07955454545454545,0.01,0.235,"Table 1 - t for mature seeds, Table 1",3,,0,,,,,Species summary
160,Jain 1975,1975,Fabaceae,Medicago,polymorpha,Medicago  polymorpha,D,1,0,I,,0,6,0.082,0.03,0.1,Table 2.3,,,0,,,,,"Jain, S. K. 1975. Population structure and the effects of breeding system. Pp. 15-36 in O. H. Frankel and J. G. Hakwes, eds. Crop genetics resources for today and tomorrow. Cambridge University Press, Cambridge, U.K."
161,Karoly 1992,1992,Fabaceae,Lupinus,nanus apricus,Lupinus  nanus apricus,D,0,0,I,3,0,2,0.53,0.4,0.66,Fig. 2,,,0,,,,,"Karoly, K. 1992. Pollinator limitation in the facultatively autogamous annual, Lupinus nanus (Leguminosae). American Journal of Botany 79:49–56."
162,Keys & Smith 1994,1994,Fabaceae,Prosopis,velutina,Prosopis velutina,D,2,0,I,8,0,3,0.758,0.609,1.004,Table 6,3,,0,-0.116,-0.3,0.001,Table 6,"Keys R.N., S.E. Smith. 1994. Mating system parameters and population genetic structure in pioneer populations of Prosopis velutina (Leguminosae). Amer. J. Bot. 81:1013–1020."
163,Khasa et al. 1993,1993,Fabaceae,Acacia,auriculiformis,Acacia  auriculiformis,D,2,0,I,5,2,1,0.961,,,??,,,0,,,,,"Khasa, P. D., W. M. Cheliak, and J. Bousquet. 1993. Mating system of Racosperma auriculiforme in a seed production area in Zaire. Canadian Journal of Botany 71:779-785."
164,Kiang et al. 1992,1992,Fabaceae,Glycine,soja,Glycine soja,D,0,0,I,,0,4,0.023,,,Abstract,,,0,,,,,"Kiang YT, Chiang YC, N Kaizuma. 1992. Genetic diversity in natural populations of wild soybean in Iwate Prefecture, Japan. J. of Heredity 83:325-329"
165,Kittleson & Maron 2000,2000,Fabaceae,Lupinus,arboreus,Lupinus  arboreus,D,2,0,I,5,0,1,0.779,,,Results,1,,1,0.001,,,Results,"Kittelson, P. M., and J. L. Maron. 2000. Outcrossing rate and inbreeding depression in the perennial yellow bush lupine, Lupinus arboreus (Fabaceae). American Journal of Botany 87:652-660."
