source_scientific_name,source_family,accepted_species,match_status,name_match_method,reason,gbif_match_type,gbif_status,gbif_confidence,gbif_usage_key,gbif_accepted_usage_key
Jatropha mutabilis,Euphorbiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3072878,
Justicia sebastianopolitanae,Acanthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3781871,
Justicia squarrosa,Acanthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3781027,
Kniphofia caulescens,Xanthorrhoeaceae,,unmatched,unmatched,accepted_name_family_conflict,,,,,
Kniphofia laxiflora,Xanthorrhoeaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5305131,
Larrea cuneifolia,Zygophyllaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5635270,
Lavoisiera imbricata,Melastomataceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3867806,11920753
Leandra lacunosa,Melastomataceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3863833,10752499
Leandra subseriata,Melastomataceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,97,3861145,10782427
Ledum palustre groenlandicum,Ericaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,2883026,
Leucocoryne ixioides,Amaryllidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2858057,
Ligaria cuneifolia,Loranthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5639996,
Limonium peregrinum,Plumbaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4088839,
Linaria cavanillesii,Plantaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8106135,
Loasa heterophylla,Loasaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,8383700,
Loasa sigmoidea,Loasaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4021233,
Lonchocarpus lanceolatus,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2969209,
Lycium cestroides,Solanaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7299347,
Lycium exsertum,Solanaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2928831,
Lymania smithii,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2697556,
Macairea radula,Melastomataceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3859212,
Macleania bullata,Ericaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4171067,
Mandevilla pentlandiana,Apocynaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3616744,
Mandevilla petraea,Apocynaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3616704,
Manettia luteorubra,Rubiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5338451,
Manettia mitis,Rubiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5338480,
Mazus miquelii,Phrymaceae,,unmatched,unmatched,accepted_name_family_conflict,,,,,
Melocactus zehntneri,Cactaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,8127764,
Melochia caracasana,Malvaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8060795,
Mendoncia coccinea sparatteria,Acanthaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,SYNONYM,83,3772681,7263543
Mertensia fusiformis,Boraginaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,5341235,5341243
Miconia langsdorffii,Melastomataceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3862843,
Miconia pepericarpa,Melastomataceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3858242,
Miconia stephananthera,Melastomataceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3865952,
Microlicia fasciculata,Melastomataceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,3861412,
Microlicia inquinans,Melastomataceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3861018,
Microlicia viminalis,Melastomataceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3859330,
Mimosa detinens,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2970284,
Mirabilis violacea,Nyctaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3086211,
Monnina philippiana,Polygalaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4049723,
Mourera fluviatilis,Podostemaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4072534,
Myrcia linearifolia,Myrtaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3174392,
Myrtillocactus schenckii,Cactaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7279762,
Nematanthus crassifolius,Gesneriaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,6365200,
Nematanthus fornix,Gesneriaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5589374,
Nematanthus lanceolatus,Gesneriaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5589293,
Neoregelia guttata,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2694014,
Neoregelia macrosepala,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2694146,
Neoregelia pauciflora,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2694064,
Nidularium cariacicaense,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2697637,
Nidularium espiritosantense,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2697679,
Nidularium itatiaiae,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2697685,
Ocotea porosa,Lauraceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7427554,
Odontonema barberioides,Acanthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,DOUBTFUL,97,7698804,
Olsynium philippii,Iridaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,2746678,
Opuntia rastrera,Cactaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5625224,
Pachycarpus asperifolius,Apocynaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8134330,
Paliavana tenuiflora,Gesneriaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3823982,
Palicourea brenesii,Rubiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2898888,
Palicourea demissa,Rubiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2898742,
Palicourea petiolaris,Rubiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2899367,
Paphiopedilum parishii,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,2825490,
Pariana ulei,Poaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4116802,
Pavonia martii,Malvaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5618714,
Penstemon haydenii,Plantaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,7764992,
Penstemon penlandii,Plantaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3171333,
Penstemon pseudospectabilis,Plantaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3171309,
Persoonia glaucescens,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5637547,
Persoonia lanceolata,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,8337061,
Persoonia mollis,Proteaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7610386,
Physalis viscosa cinerascens,Solanaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,SYNONYM,83,5580973,5341768
Physaria obcordata,Brassicaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3049170,
Pitcairnia altensteinii,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,5288155,
Pitcairnia brittoniana,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5288138,
Pitcairnia corcovadensis,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5288045,
Pitcairnia flammea pallida,Bromeliaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,5288503,
Pitcairnia staminea,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5288613,
Pittosporum dasycaulon,Pittosporaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4161945,
Platanthera leucophaea,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2798308,
Pleurothallis cardiothallis,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2787614,
Pontederia subovata,Pontederiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2766047,
Porlieria microphylla,Zygophyllaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3987352,
Portea fosteriana,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2694459,
Prescottia plantaginea,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5312325,
Prockia flava,Salicaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4261271,
Prosopis alba,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5358528,
Prosopis nigra,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,5358478,
Prunus geniculata,Rosaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3022647,
Pseudopiptadenia leptostachya,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2952899,
Psidium firmum,Myrtaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5420636,
Psittacanthus calyculatus,Loranthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7287917,
Psychotria costularia,Rubiaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,2920983,10951352
Psychotria goyazensis,Rubiaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,2923139,10899323
Ptilotrichum spinosum,Brassicaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3050716,3050712
Qualea grandiflora,Vochysiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4030658,
Quesnelia augusto-coburgii,Bromeliaceae,,unmatched,unmatched,reject_non_exact_match,FUZZY,ACCEPTED,96,4018555,
Quesnelia blanda,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2696533,
Ranunculus dissectifolius,Ranunculaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,3930590,
Ranunculus graniticola,Ranunculaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3927707,
Ranunculus millanii,Ranunculaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3922211,
Ranunculus muelleri,Ranunculaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7276731,
Ranunculus niphophilus,Ranunculaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3920992,
Rauvolfia grandiflora,Apocynaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,3617992,
Renealmia nicolaioides,Zingiberaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5302540,
Rhododendron cyanocarpum,Ericaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7877646,
Rhodophiala rhodolirion,Amaryllidaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,2854120,2854121
Rhynchosia edulis,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5350706,
Roridula dentata,Roridulaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5601668,
Roridula gorgonias,Roridulaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5601665,
Rosa reversa,Rosaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,8429369,
Roscoea cautleyoides,Zingiberaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5301307,
Roscoea debilis,Zingiberaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5301343,
Roscoea humeana,Zingiberaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5301328,
Ruellia angustiflora,Acanthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,8317800,
Ruellia asperula,Acanthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,8252714,
Ruellia subsessilis,Acanthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,7701121,
Rutidosis leptorhynchoides,Asteraceae,,unmatched,unmatched,reject_non_exact_match,FUZZY,ACCEPTED,95,4253866,
Salvia sellowiana,Lamiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3887867,
Salvia smyrnaea,Lamiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3887240,
Sarcocapnos pulcherrima,Papaveraceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3601748,
Satyria warszewiczii,Ericaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4172202,
Satyrium longicauda,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5307416,
Scrophularia fontqueri,Scrophulariaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3737880,
Senna aphylla,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2957262,
Senna martiana,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2957827,
Sesbania goetzei,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2970591,
Seseli farrenyi,Apiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3631371,
Silene acutifolia,Caryophyllaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5585946,
Silene douglasii oraria,Caryophyllaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,ACCEPTED,84,5588502,
Silene glaucifolia,Caryophyllaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,2518,
Silene laxipruinosa,Caryophyllaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,5586723,3808482
Silene stockenii,Caryophyllaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5588426,
Sinningia cooperi,Gesneriaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3818296,
Sinningia gigantifolia,Gesneriaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3818091,
Sisyrinchium arenarium,Iridaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5296013,
Sobralia amabilis,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2797393,
Solanum catilliflorum,Solanaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2929168,
Solanum stuckertii,Solanaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2929997,
Solidago shortii,Asteraceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5388912,
Spermacoce multiflora,Rubiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3849254,
Spiraea virginiana,Rosaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3027290,
Spondias tuberosa,Anacardiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,8230360,
Stachys albicaulis,Lamiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7388031,
Staurogyne itatiaiae,Acanthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3774162,
Stellaria pubera,Caryophyllaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5384664,
Stenocereus stellatus,Cactaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7284680,
Stenostephanus lobeliiformis,Acanthaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3770390,
Stylidium adpressum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7334947,
Stylidium affine,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7334935,
Stylidium breviscapum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7334891,
Stylidium brunonianum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7334880,
Stylidium bulbiferum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7334955,
Stylidium bulbiferum ciliatum,Stylidiaceae,,unmatched,unmatched,reject_non_species_rank,EXACT,SYNONYM,83,5543973,5543759
Stylidium choreanthum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543791,
Stylidium crassifolium,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7334905,
Stylidium crossocephalum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543616,
Stylidium dichotomum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543507,
Stylidium dielsianum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543489,
Stylidium divaricatum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543938,
Stylidium emarginatum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7334941,
Stylidium glaucum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7646210,
Stylidium guttatum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543525,
Stylidium induratum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543943,
Stylidium longibraceteatum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,DOUBTFUL,97,7705375,
Stylidium longitubum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543496,
Stylidium petiolare,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7334897,
Stylidium repens,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7334923,
Stylidium rhipidium,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543733,
Stylidium rhynchocarpum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543722,
Stylidium roseoalatum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8332860,
Stylidium sacculatum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543589,
Stylidium uniflorum,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5543569,
Stylidium utricularioides,Stylidiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7334894,
Svitramia hatschbachii,Melastomataceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3867378,10771186
Svitramia minor,Melastomataceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3867341,10751783
Tacinga palmadora,Cactaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3957919,
Tetraneuris herbacea,Asteraceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3112429,
Tetratheca juncea,Elaeocarpaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7538324,
Thalictrum clavatum,Ranunculaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,3033164,
Tibouchina aegopogon,Melastomataceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3864480,5601609
Tibouchina frigidula,Melastomataceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3862879,10704315
Tibouchina papyrus,Melastomataceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3860605,7451238
Tibouchina villosissima,Melastomataceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3858981,5601258
Tillandsia achyrostachys,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,2695397,
Tillandsia circinnatioides,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2695580,
Tillandsia hubertiana,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2694571,
Tillandsia ixioides,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2694585,
Tillandsia multicaulis,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2694501,
Tillandsia prodigiosa,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2695056,
Tillandsia spiculosa,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7693518,
Townsendia aprica,Asteraceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5401965,
Trema micrantha,Cannabaceae,,unmatched,unmatched,reject_non_exact_match,FUZZY,ACCEPTED,96,2984501,
Trembleya neopyrenaica,Melastomataceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3868574,11813899
Trembleya parviflora,Melastomataceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3868371,11589201
Trevoa quinquenervia,Rhamnaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,3876194,
Tritonia disticha,Iridaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5297264,
Utricularia praetermissa,Lentibulariaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4087746,
Utricularia reniformis,Lentibulariaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7297850,
Vassobia breviflora,Solanaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3801366,
Velloziella westermanii,Scrophulariaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3742302,
Vicia villosa varia,Fabaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,9182154,
Viviania marifolia,Vivianiaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8404707,
Vriesea bituminosa,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5289039,
Vriesea bracteosa,Bromeliaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,97,3740,
Vriesea delicatula,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5289379,
Vriesea extensa,Bromeliaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,5289010,2699985
Vriesea gracilior,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5289168,
Vriesea gradata,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5289104,
Vriesea hydrophora,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5288879,
Vriesea hygrometrica,Bromeliaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,5288863,2699777
Vriesea kautskyana,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5288875,
Vriesea longiscapa,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5289365,
Vriesea ruschii,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5289012,
Vriesea sparsiflora,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5289155,
Walsura temrifolia,Meliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,DOUBTFUL,97,3851328,
Watsonia lepida,Iridaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5297811,
Xyris laxifolia delta,Xyridaceae,,unmatched,unmatched,reject_non_exact_match,HIGHERRANK,ACCEPTED,99,2692711,
Zaluzianskya microsiphon,Scrophulariaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3741546,
Zaluzianskya natalensis,Scrophulariaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,3741515,
Ziziphus celata,Rhamnaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,3039417,9152134
