accepted_species,genus,family,n_islands,n_records
Olsynium douglasii,Olsynium,Iridaceae,5,1802
Pimelea orthia,Pimelea,Thymelaeaceae,2,59
Cylindropuntia tunicata,Cylindropuntia,Cactaceae,3,19
Chrysochlamys nicaraguensis,Chrysochlamys,Clusiaceae,2,6
Limonium wiedmannii,Limonium,Plumbaginaceae,2,10
Tillandsia mallemontii,Tillandsia,Bromeliaceae,2,49
Xanthophyllum heterophyllum,Xanthophyllum,Polygalaceae,2,14
Kniphofia hybrida,Kniphofia,Asphodelaceae,2,2
Bursera frenningiae,Bursera,Burseraceae,2,3
Valerianella radiata,Valerianella,Caprifoliaceae,4,30
Impatiens albopurpurea,Impatiens,Balsaminaceae,1,7
Juncus polyanthemus,Juncus,Juncaceae,8,70
Pterophylla dichotoma,Pterophylla,Cunoniaceae,1,100
Isotrema cucurbitifolium,Isotrema,Aristolochiaceae,1,131
Aneilema siliculosum,Aneilema,Commelinaceae,2,6
Asimitellaria furusei,Asimitellaria,Saxifragaceae,3,365
Hypericum denticulatum,Hypericum,Hypericaceae,2,4
Scrophularia floribunda,Scrophularia,Scrophulariaceae,2,6
Combretum macrocalyx,Combretum,Combretaceae,1,158
Dendromecon rigida,Dendromecon,Papaveraceae,3,12
Saurauia callithrix,Saurauia,Actinidiaceae,1,3
Geranium urbanum,Geranium,Geraniaceae,2,13
Mammea griseo-flavescens,Mammea,Calophyllaceae,1,16
Ilex gundlachiana,Ilex,Aquifoliaceae,1,14
Adinandra integerrima,Adinandra,Pentaphylacaceae,1,5
Hibbertia pulchella,Hibbertia,Dilleniaceae,1,113
Burasaia apetela,Burasaia,Menispermaceae,1,22
Adenia stylosa,Adenia,Passifloraceae,1,36
Tacca soalala,Tacca,Dioscoreaceae,1,9
Coelocarpum humbertii,Coelocarpum,Verbenaceae,1,25
Geniostoma glaucescens,Geniostoma,Loganiaceae,1,36
Lilium chalcedonicum,Lilium,Liliaceae,2,4
Pittosporum malaxanii,Pittosporum,Pittosporaceae,1,50
Eriocaulon scullionii,Eriocaulon,Eriocaulaceae,1,4
Decarydendron ranomafanense,Decarydendron,Monimiaceae,1,4
Potamogeton salicifolius,Potamogeton,Potamogetonaceae,2,20
Ammannia heterophylla,Ammannia,Lythraceae,1,4
Symplocos versteegii,Symplocos,Symplocaceae,1,7
Viscum loranthi,Viscum,Viscaceae,1,4
Goeppertia arrabidae,Goeppertia,Marantaceae,1,2
Euploca uninervis,Euploca,Heliotropiaceae,1,2
Ceodes corniculata,Ceodes,Nyctaginaceae,1,2
Quadrella lindeniana,Quadrella,Capparaceae,1,3
Cordia senegalensis,Cordia,Cordiaceae,1,2
Dampiera lavandulacea,Dampiera,Goodeniaceae,1,1
Nepenthes oblanceolata,Nepenthes,Nepenthaceae,1,2
Liriodendropsis angustifolia,Liriodendropsis,Magnoliaceae,1,3
Smilax koyamae,Smilax,Smilacaceae,1,4
Gaulettia cognata,Gaulettia,Chrysobalanaceae,1,1
Utricularia leptorhyncha,Utricularia,Lentibulariaceae,1,3
Alnus fernandi-coburgii,Alnus,Betulaceae,1,1
Camellia mairei,Camellia,Theaceae,1,1
Oxalis blackii,Oxalis,Oxalidaceae,1,1
Berberis sargentiana,Berberis,Berberidaceae,1,1
Cistus osbaeckifolius,Cistus,Cistaceae,1,1
Micranthemum erosum,Micranthemum,Linderniaceae,1,1
Erythroxylum densum,Erythroxylum,Erythroxylaceae,1,1
Eschweilera calyculata,Eschweilera,Lecythidaceae,1,1
Ouratea mexicana,Ouratea,Ochnaceae,1,1
Anacamptis sancta,Anacamptis,Orchidaceae,23,711
Picris hieracioides,Picris,Asteraceae,111,20850
Coelospermum reticulatum,Coelospermum,Rubiaceae,23,237
Acacia saligna,Acacia,Fabaceae,84,1858
