source_name,source_family,source_provider_keys
Rubus franconicus,,floraweb_biolflor
Rubus frederici,,floraweb_biolflor
Rubus frisicus,,floraweb_biolflor
Rubus fuernrohrii,,floraweb_biolflor
Rubus galeatus,,floraweb_biolflor
Rubus geminatus,,floraweb_biolflor
Rubus glandisepalus,,floraweb_biolflor
Rubus glandithyrsos,,floraweb_biolflor
Rubus glaucovirens,,floraweb_biolflor
Rubus goniophorus,,floraweb_biolflor
Rubus gremlii,,floraweb_biolflor
Rubus guestphalicoides,,floraweb_biolflor
Rubus guestphalicus,,floraweb_biolflor
Rubus hassicus,,floraweb_biolflor
Rubus hastifer,,floraweb_biolflor
Rubus henrici-weberi,,floraweb_biolflor
Rubus hercynicus,,floraweb_biolflor
Rubus hevellicus,,floraweb_biolflor
Rubus hilsianus,,floraweb_biolflor
Rubus hirsutior,,floraweb_biolflor
Rubus hirtifolius,,floraweb_biolflor
Rubus histriculus,,floraweb_biolflor
Rubus hostilis,,floraweb_biolflor
Rubus hystricopsis,,floraweb_biolflor
Rubus imitans,,floraweb_biolflor
Rubus immodicus,,floraweb_biolflor
Rubus incarnatus,,floraweb_biolflor
Rubus incisior,,floraweb_biolflor
Rubus inhorrens,,floraweb_biolflor
Rubus insolatus,,floraweb_biolflor
Rubus insulariopsis,,floraweb_biolflor
Rubus iuvenis,,floraweb_biolflor
Rubus josefianus,,floraweb_biolflor
Rubus klimmekianus,,floraweb_biolflor
Rubus lasiandrus,,floraweb_biolflor
Rubus latiarcuatus,,floraweb_biolflor
Rubus libertianus,,floraweb_biolflor
Rubus ligniciensis,,floraweb_biolflor
Rubus limitis,,floraweb_biolflor
Rubus lividus,,floraweb_biolflor
Rubus lobatidens,,floraweb_biolflor
Rubus loehrii,,floraweb_biolflor
Rubus loosii,,floraweb_biolflor
Rubus lusaticus,,floraweb_biolflor
Rubus luxurians,,floraweb_biolflor
Rubus macer,,floraweb_biolflor
Rubus macrostachys,,floraweb_biolflor
Rubus martensenii,,floraweb_biolflor
Rubus maximus,,floraweb_biolflor
Rubus meierottii,,floraweb_biolflor
Rubus melanoxylon,,floraweb_biolflor
Rubus mollis,,floraweb_biolflor
Rubus myricae,,floraweb_biolflor
Rubus nemorosoides,,floraweb_biolflor
Rubus nessensis,,floraweb_biolflor
Rubus nuptialis,,floraweb_biolflor
Rubus oberdorferi,,floraweb_biolflor
Rubus oblongifolius,,floraweb_biolflor
Rubus obtusangulus,,floraweb_biolflor
Rubus oenensis,,floraweb_biolflor
Rubus omalodontos,,floraweb_biolflor
Rubus oreades,,floraweb_biolflor
Rubus orthostachyoides,,floraweb_biolflor
Rubus orthostachys,,floraweb_biolflor
Rubus perdemissus,,floraweb_biolflor
Rubus perperus,,floraweb_biolflor
Rubus pervirescens,,floraweb_biolflor
Rubus phoenicacanthus,,floraweb_biolflor
Rubus phyllostachys,,floraweb_biolflor
Rubus phyllothyrsos,,floraweb_biolflor
Rubus picearum,,floraweb_biolflor
Rubus picticaulis,,floraweb_biolflor
Rubus platycephalus,,floraweb_biolflor
Rubus poliothyrsus,,floraweb_biolflor
Rubus praestans,,floraweb_biolflor
Rubus pseudargenteus,,floraweb_biolflor
Rubus pseudincisior,,floraweb_biolflor
Rubus pseudopsis,,floraweb_biolflor
Rubus pyramidatus,,floraweb_biolflor
Rubus ranftii,,floraweb_biolflor
Rubus rhytidophyllus,,floraweb_biolflor
Rubus ripuaricus,,floraweb_biolflor
Rubus roberti,,floraweb_biolflor
Rubus rotundifoliatus,,floraweb_biolflor
Rubus rubrum-cadaver,,floraweb_biolflor
Rubus salisburgensis,,floraweb_biolflor
Rubus saxicola,,floraweb_biolflor
Rubus schlechtendaliiformis,,floraweb_biolflor
Rubus schlickumii,,floraweb_biolflor
Rubus schumacheri,,floraweb_biolflor
Rubus senticosus,,floraweb_biolflor
Rubus septifolius,,floraweb_biolflor
Rubus siekensis,,floraweb_biolflor
Rubus sorbicus,,floraweb_biolflor
Rubus speculatus,,floraweb_biolflor
Rubus spina-curva,,floraweb_biolflor
Rubus spinulatus,,floraweb_biolflor
Rubus stormanicus,,floraweb_biolflor
Rubus suevicola,,floraweb_biolflor
Rubus sylvulicola,,floraweb_biolflor
Rubus tauni,,floraweb_biolflor
Rubus tereticaulis,,floraweb_biolflor
Rubus thelybatos,,floraweb_biolflor
Rubus transvestitus,,floraweb_biolflor
Rubus ubericus,,floraweb_biolflor
Rubus vaniloquus,,floraweb_biolflor
Rubus villarsianus,,floraweb_biolflor
Rubus viscosus,,floraweb_biolflor
Rubus vulgaris,,floraweb_biolflor
Rubus xiphophorus,,floraweb_biolflor
Ruellia nudiflora,Acanthaceae,glopl_2025
Sabulina austriaca,,floraweb_biolflor
Sagina normaniana,,floraweb_biolflor
Saintpaulia confusa,Gesneriaceae,glopl_2025
Sanguisorba minor,,floraweb_biolflor
Saranthe klotzschiana,Marantaceae,glopl_2025
Satyrium bicorne,Orchidaceae,glopl_2025
Satyrium coriifolium,Orchidaceae,glopl_2025
Satyrium erectum,Orchidaceae,glopl_2025
Satyrium pumilum,Orchidaceae,glopl_2025
Saxifraga aphylla,,floraweb_biolflor
Saxifraga bryoides,,floraweb_biolflor
Saxifraga burseriana,,floraweb_biolflor
Saxifraga caesia,,floraweb_biolflor
Saxifraga kochii,,floraweb_biolflor
Saxifraga stellaris,Saxifragaceae,glopl_2025
Schefflera heptaphylla,Araliaceae,glopl_2025
Schizocalyx cuspidatus,Rubiaceae,glopl_2025
Schoenoplectus mucronatus,,floraweb_biolflor
Schoenoplectus supinus,,floraweb_biolflor
Scorzoneroides helvetica,,floraweb_biolflor
Scorzoneroides montana,,floraweb_biolflor
Securigera varia,,floraweb_biolflor
Selinum silaifolium,,floraweb_biolflor
Sempervivum funckii,,floraweb_biolflor
Senecio erucifolius,,floraweb_biolflor
Senecio germanicus,,floraweb_biolflor
Senecio hercynicus,,floraweb_biolflor
Senecio subalpinus,,floraweb_biolflor
Seseli annuum,,floraweb_biolflor
Seseli hippomarathrum,,floraweb_biolflor
Setaria verticilliformis,,floraweb_biolflor
Sidalcea oregana,Malvaceae,glopl_2025
Silene linicola,,floraweb_biolflor
Silene viscaria,Caryophyllaceae,glopl_2025
Sinningia cooperi,Gesneriaceae,glopl_2025
Sinojackia huangmeiensis,Styracaceae,glopl_2025
Sisyrinchium campestre,Iridaceae,glopl_2025
Solanum rostratum,Solanaceae,glopl_2025
Soldanella austriaca,,floraweb_biolflor
Soldanella minima,,floraweb_biolflor
Soldanella montana,,floraweb_biolflor
Sorbus chamaemespilus,,floraweb_biolflor
Sorbus domestica,,floraweb_biolflor
Sorbus torminalis,Rosaceae,glopl_2025
Spartina alterniflora,Poaceae,glopl_2025
Spartina anglica,,floraweb_biolflor
Spartina patens,Poaceae,glopl_2025
Spergularia echinosperma,,floraweb_biolflor
Spergularia segetalis,,floraweb_biolflor
Spondias tuberosa,Anacardiaceae,glopl_2025
Stachytarpheta glabra,Verbenaceae,glopl_2025
Stanhopea lietzei,Orchidaceae,glopl_2025
Staurogyne itatiaiae,Acanthaceae,glopl_2025
Stellaria pubera,Caryophyllaceae,glopl_2025
Stipa dasyphylla,,floraweb_biolflor
Stipa eriocaulis,,floraweb_biolflor
Styrax obassis,Styracaceae,glopl_2025
Svitramia minor,Melastomataceae,glopl_2025
Swartzia pickelii,Fabaceae,glopl_2025
Swertia przewalskii,Gentianaceae,glopl_2025
Symphyotrichum sericeum,Asteraceae,glopl_2025
Syncolostemon densiflorus,Lamiaceae,glopl_2025
Syncolostemon macranthus,Lamiaceae,glopl_2025
Syncolostemon rotundifolius,Lamiaceae,glopl_2025
Tabebuia nodosa,Bignoniaceae,glopl_2025
Talbotiella gentii,Fabaceae,glopl_2025
Tecomella undulata,Bignoniaceae,glopl_2025
Telopea mongaensis,Proteaceae,glopl_2025
Tephroseris crispa,,floraweb_biolflor
Tephroseris tenuifolia,,floraweb_biolflor
Terminalia pallida,Combretaceae,glopl_2025
Teucridium parvifolium,Lamiaceae,glopl_2025
Thelypteris palustris,,floraweb_biolflor
Thereianthus spicatus,Convolvulaceae,glopl_2025
Thesium alpinum,,floraweb_biolflor
Thesium bavarum,,floraweb_biolflor
Thesium pyrenaicum,,floraweb_biolflor
Thesium rostratum,,floraweb_biolflor
Thlaspi alliaceum,,floraweb_biolflor
Tibouchina aegopogon,Melastomataceae,glopl_2025
Tibouchina frigidula,Melastomataceae,glopl_2025
Tibouchina papyrus,Melastomataceae,glopl_2025
Tibouchina sellowiana,Melastomataceae,glopl_2025
Tococa guianensis,Melastomataceae,glopl_2025
Tozzia alpina,,floraweb_biolflor
Traunsteinera globosa,,floraweb_biolflor
Trembleya parviflora,Melastomataceae,glopl_2025
Trientalis europaea,,floraweb_biolflor
Trifolium dasyphyllum,Fabaceae,glopl_2025
Trifolium parryi,Fabaceae,glopl_2025
Trillium catesbaei,Melanthiaceae,glopl_2025
Trillium reliquum,Melanthiaceae,glopl_2025
Tritoniopsis revoluta,Iridaceae,glopl_2025
Trocdaris verticillata,,floraweb_biolflor
Trollius ranunculoides,Ranunculaceae,glopl_2025
Utricularia reniformis,Lentibulariaceae,glopl_2025
Utricularia stygia,,floraweb_biolflor
Vaccaria hispanica,,floraweb_biolflor
Valeriana saxatilis,,floraweb_biolflor
Valeriana supina,,floraweb_biolflor
Valeriana tripteris,,floraweb_biolflor
Veronica aphylla,,floraweb_biolflor
Veronica bellidioides,,floraweb_biolflor
Veronica cusickii,Plantaginaceae,glopl_2025
Vicia angustifolia,,floraweb_biolflor
Vicia glabrescens,,floraweb_biolflor
Vicia oroboides,,floraweb_biolflor
Vigna caracalla,Fabaceae,glopl_2025
Viola calaminaria,,floraweb_biolflor
Viola guestphalica,,floraweb_biolflor
Viola pyrenaica,,floraweb_biolflor
Viola schultzii,,floraweb_biolflor
Vulpia ciliata,,floraweb_biolflor
Wahlenbergia cuspidata,Campanulaceae,glopl_2025
Wahlenbergia hederacea,,floraweb_biolflor
Xanthium albinum,,floraweb_biolflor
Xanthium saccharatum,,floraweb_biolflor
Xyris tennesseensis,Xyridaceae,glopl_2025
Yucca elata,Asparagaceae,glopl_2025
Zeyheria montana,Bignoniaceae,glopl_2025
Ziziphus mistol,Rhamnaceae,glopl_2025
Zostera noltei,,floraweb_biolflor
