stratum,context,combination,architecture_label_corrected,trait_name_corrected,support_tier,threshold_corrected,model,status_corrected,n_unique_islands_corrected,n_clusters_corrected,median_trials_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,distance_q_corrected,architecture_label_original,trait_name_original,threshold_original,status_original,n_unique_islands_original,n_clusters_original,median_trials_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,distance_q_original
all_observed,tropical,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,910,99,4.0,-0.1139074744712935,0.04259747579035153,0.007494288082421402,,,,0.03967069196360215,butterfly_associated_form,floral_form,50,fit,910,99,4.0,-0.1090554890985992,0.0425931244234737,0.0104551371313735,,,,0.0487906399464099
all_observed,tropical,yellow_orange__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,986,100,5.0,-0.019666924371487537,0.05204772654762227,0.7055321661323011,,,,0.7055321661323012,large_bee_associated_intermediate_deep_tube,tube_depth_class,50,fit,986,100,5.0,-0.0285703624543619,0.0503814885279059,0.5706594535792447,,,,0.6190589268880125
all_observed,tropical,yellow_orange__large_bee_form_given_colour,large_bee_associated_form,floral_form,confirmatory,50,unconditional,fit,910,99,4.0,-0.07413737488706176,0.04350528466939941,0.08836232385200285,,,,0.247414506785608,large_bee_associated_form,floral_form,50,fit,910,99,4.0,-0.0715988607354474,0.0410998668926664,0.0814961297983618,,,,0.2656662758979064
all_observed,tropical,blue_purple__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,862,99,6.0,0.05782514832176226,0.03616739470503586,0.1098606386864311,-0.18356147873494463,0.03005927498786376,1.0174386390674555e-09,0.38451223540250884,butterfly_associated_deep_tube,tube_depth_class,30,fit,862,99,6.0,0.0576463853492533,0.0349282436707955,0.098856399539159,-0.184905382388096,0.0303645280194197,1.1325014307566206e-09,0.3459973983870568
all_observed,tropical,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,conditional_selfing,fit,774,99,4.0,-0.005497016186258183,0.035439371261601,0.8767342581749084,-0.11018767247895633,0.04780541731589338,0.021171042558324343,0.8767342581749084,butterfly_associated_form,floral_form,30,fit,774,99,4.0,-0.011756852310007,0.0353098517960588,0.7391626804040086,-0.1072633617699038,0.0476399407306057,0.0243511842770509,0.7464444181289123
all_observed,tropical,blue_purple__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,862,99,6.0,0.04880985457952797,0.0361702874240117,0.17719371060723435,-0.050733909569536606,0.04571321720256912,0.2670721975140833,0.41345199141688016,large_bee_associated_intermediate_deep_tube,tube_depth_class,30,fit,862,99,6.0,0.0499107696184475,0.0356723277021916,0.1617694159756636,-0.0524497662949839,0.0454337718788888,0.248327015066253,0.4529543647318582
all_observed,tropical,blue_purple__large_bee_form_given_colour,large_bee_associated_form,floral_form,pilot,30,conditional_selfing,fit,774,99,4.0,-0.0694197060035609,0.039134156463901934,0.0760812744743565,-0.20302488428463855,0.03996703162548928,3.778146618049074e-07,0.355045947546997,large_bee_associated_form,floral_form,30,fit,774,99,4.0,-0.0664456482305005,0.0397863679065609,0.094907360659001,-0.2021496713522056,0.0397211321821791,3.5953496006208e-07,0.3459973983870568
all_observed,tropical,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,861,98,6.0,-0.011002750569187536,0.040401225227189044,0.7853628692158781,-0.015275812816834433,0.047763240081703795,0.7491020336590879,0.8490830160399752,bird_associated_intermediate_deep_tube,tube_depth_class,30,fit,861,98,6.0,-0.0123997109835927,0.0383498731290701,0.7464444181289123,-0.0145102386707423,0.0475601673375369,0.7602958902839465,0.7464444181289123
all_observed,tropical,red_pink__bird_form_given_colour,bird_associated_form,floral_form,pilot,30,conditional_selfing,fit,754,98,4.0,-0.05606659790528333,0.049257635769578825,0.2550237840545447,0.0202373213439683,0.04612112381215022,0.6608163240581939,0.4188004303043299,bird_associated_form,floral_form,30,fit,754,98,4.0,-0.0501049044200397,0.0464054776004003,0.2802670563748489,0.0194674103592143,0.0465419045304478,0.6757445698912414,0.4904673486559855
all_observed,tropical,red_pink__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,861,98,6.0,0.009275964931812562,0.03456738717713885,0.788434229179977,-0.13974104473791138,0.02907512857372746,1.5382174224115947e-06,0.8490830160399752,butterfly_associated_deep_tube,tube_depth_class,30,fit,861,98,6.0,0.0158166054143573,0.0326243841741124,0.6278116129576317,-0.1425244788459026,0.0290373050183531,9.185837028295328e-07,0.7324468817839036
