source_scientific_name,source_family,raw_value,accepted_species,name_match_method,match_status,reason,gbif_match_type,gbif_status,gbif_confidence,gbif_usage_key,gbif_accepted_usage_key
Boechera retrofracta,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8246516,
Boechera sparsiflora,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3043545,
Boswellia papyrifera,Burseraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5421356,
Bothriochloa biloba,Poaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4137366,
Brachyscome muelleri,Asteraceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3144632,
Brandisia hancei,Orobanchaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3732880,
Brassica aucheri,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3042653,
Brassica deflexa,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3042507,
Brassica desnottesii,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3042749,
Brassica gravinae,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3042514,
Brassica maurorum,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,3042915,
Brassica repanda,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3042551,
Brassica spinescens,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3042913,
Brunfelsia dwyeri,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3800052,
Buddleja macrostachya,Scrophulariaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,4055437,
Buddleja speciosissima,Scrophulariaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4055611,
Bulbine vagans,Asphodelaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5304877,
Byrsonima pachyphylla,Malpighiaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7285505,
Byrsonima umbellata,Malpighiaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,3984423,
Calceolaria arachnoidea,Calceolariaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8389740,
Calceolaria lanigera,Calceolariaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7989111,
Calceolaria polifolia,Calceolariaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8118052,
Calceolaria purpurea,Calceolariaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7844490,
Calendula pachysperma,Asteraceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5694267,
Calendula palaestina,Asteraceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5391488,
Calibrachoa caesia,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799508,
Calibrachoa dusenii,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799496,
Calibrachoa eglandulata,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799494,
Calibrachoa elegans,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799489,
Calibrachoa ericifolia,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799485,
Calibrachoa excellens,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799480,
Calibrachoa linoides,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799444,
Calibrachoa micrantha,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799428,
Calibrachoa pubescens,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799407,
Calibrachoa pygmea,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799403,
Calibrachoa sendtneriana,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799385,
Calibrachoa serrulata,Solanaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3799375,
Calliandra laxa,Fabaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2982019,
Calliandra pakaraimensis,Fabaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2982319,
Calligonum mongolicum,Polygonaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4037267,
Calolisianthus pendulus,Gentianaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3841326,
Calycadenia fremontii,Asteraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3093002,
Calycadenia hooveri,Asteraceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3093019,
Calycadenia micrantha,Asteraceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3093022,
Calycadenia multiglandulosa,Asteraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3092996,
Calycadenia oppositifolia,Asteraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3093020,
Calycadenia pauciflora,Asteraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3093015,
Calycadenia spicata,Asteraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3093007,
Calydorea alba,Iridaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2746413,
Calyptochloa cylindrosperma,Poaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8946880,
Calyptochloa gracillima,Poaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,4122313,
Calyptochloa johnsoniana,Poaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,9582949,
Camissonia benitensis,Onagraceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3188992,
Camissonia campestris,Onagraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3188985,
Camissonia kernensis,Onagraceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3189037,
Campanula americana,Campanulaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7639571,
Campanula barbata,Campanulaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5409958,
Campanula sabatia,Campanulaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,5409803,
Campanula thyrsoides,Campanulaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5410886,
Campomanesia phaea,Myrtaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,8141301,
Campomanesia pubescens,Myrtaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3180981,
Capsella orientalis,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5375384,
Capsicum chacoense,Solanaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7299506,
Capsicum galapagoensis,Solanaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,DOUBTFUL,96,3798717,
Capsicum lanceolatum,Solanaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,8511867,
Capsicum parvifolium,Solanaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7299393,
Capsicum rhomboideum,Solanaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3798167,
Capsicum tovarii,Solanaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3797972,
Capsicum villosum,Solanaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7299326,
Caragana korshinskii,Fabaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2943277,
Caragana pygmaea,Fabaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,2943272,
Caragana spinosa,Fabaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,8351322,
Cardamine chenopodiifolia,Brassicaceae,sc,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3045740,
Cardamine tenuirostris,Brassicaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,3045941,
Carex firma,Cyperaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2728572,
Carex sempervirens,Cyperaceae,si,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,2722326,
